Time,System Production (Wh)
17/06/2022,33592
18/06/2022,36013
19/06/2022,25489
20/06/2022,13552
21/06/2022,22220
22/06/2022,32698
23/06/2022,35355
24/06/2022,17253
25/06/2022,35885
26/06/2022,24819
27/06/2022,31507
28/06/2022,26806
29/06/2022,29397
30/06/2022,19371
01/07/2022,4703
02/07/2022,439
03/07/2022,3159
04/07/2022,2606
05/07/2022,4946
06/07/2022,4545
07/07/2022,21678
08/07/2022,39785
09/07/2022,38167
10/07/2022,13863
11/07/2022,26035
12/07/2022,32345
13/07/2022,30826
14/07/2022,30793
15/07/2022,39268
16/07/2022,21687
17/07/2022,39991
18/07/2022,41542
19/07/2022,27061
20/07/2022,17302
21/07/2022,17004
22/07/2022,11589
23/07/2022,17893
24/07/2022,38006
25/07/2022,38963
26/07/2022,32132
27/07/2022,43063
28/07/2022,39056
29/07/2022,42482
30/07/2022,40994
31/07/2022,24680
01/08/2022,37929
02/08/2022,44845
03/08/2022,32542
04/08/2022,6959
05/08/2022,41792
06/08/2022,44017
07/08/2022,41080
08/08/2022,44898
09/08/2022,29860
10/08/2022,31740
11/08/2022,20450
12/08/2022,8635
13/08/2022,35811
14/08/2022,37318
15/08/2022,27496
16/08/2022,41286
17/08/2022,48816
18/08/2022,20190
19/08/2022,18930
20/08/2022,22388
21/08/2022,50818
22/08/2022,51897
23/08/2022,22435
24/08/2022,51081
25/08/2022,40984
26/08/2022,32588
27/08/2022,29677
28/08/2022,46080
29/08/2022,30186
30/08/2022,47788
31/08/2022,48693
01/09/2022,35328
02/09/2022,19991
03/09/2022,16179
04/09/2022,23254
05/09/2022,50716
06/09/2022,47052
07/09/2022,49866
08/09/2022,51380
09/09/2022,23062
10/09/2022,47595
11/09/2022,60672
12/09/2022,50325
13/09/2022,45849
14/09/2022,61294
15/09/2022,19522
16/09/2022,52080
17/09/2022,51110
18/09/2022,62381
19/09/2022,55522
20/09/2022,49224
21/09/2022,22064
22/09/2022,21041
23/09/2022,19351
24/09/2022,35576
25/09/2022,63409
26/09/2022,31467
27/09/2022,40281
28/09/2022,47634
29/09/2022,24066
30/09/2022,40590
01/10/2022,28648
02/10/2022,44141
03/10/2022,64395
04/10/2022,43785
05/10/2022,7821
06/10/2022,9362
07/10/2022,27717
08/10/2022,33906
09/10/2022,46616
10/10/2022,45496
11/10/2022,30406
12/10/2022,31164
13/10/2022,39106
14/10/2022,60923
15/10/2022,70666
16/10/2022,63546
17/10/2022,27282
18/10/2022,30898
19/10/2022,48257
20/10/2022,19454
21/10/2022,26227
22/10/2022,46433
23/10/2022,4951
24/10/2022,11838
25/10/2022,52509
26/10/2022,60550
27/10/2022,54242
28/10/2022,76137
29/10/2022,77311
30/10/2022,70520
31/10/2022,40522
01/11/2022,68118
02/11/2022,81906
03/11/2022,48267
04/11/2022,65674
05/11/2022,70280
06/11/2022,76066
07/11/2022,76848
08/11/2022,73916
09/11/2022,80483
10/11/2022,78102
11/11/2022,62747
12/11/2022,63557
13/11/2022,29883
14/11/2022,73931
15/11/2022,48128
16/11/2022,55969
17/11/2022,80321
18/11/2022,76369
19/11/2022,76473
20/11/2022,83082
21/11/2022,84074
22/11/2022,82800
23/11/2022,79223
24/11/2022,75621
25/11/2022,69091
26/11/2022,80110
27/11/2022,31549
28/11/2022,43069
29/11/2022,72052
30/11/2022,47625
01/12/2022,58329
02/12/2022,45552
03/12/2022,79501
04/12/2022,76045
05/12/2022,62496
06/12/2022,79827
07/12/2022,47256
08/12/2022,74284
09/12/2022,69977
10/12/2022,71771
11/12/2022,78573
12/12/2022,45498
13/12/2022,83662
14/12/2022,74695
15/12/2022,76469
16/12/2022,68055
17/12/2022,48132
18/12/2022,51777
19/12/2022,77708
20/12/2022,77420
21/12/2022,81258
22/12/2022,31232
23/12/2022,76221
24/12/2022,75570
25/12/2022,71431
26/12/2022,70201
27/12/2022,81618
28/12/2022,82193
29/12/2022,23949
30/12/2022,14485
31/12/2022,57078
01/01/2023,62905
02/01/2023,71462
03/01/2023,73505
04/01/2023,17532
05/01/2023,49244
06/01/2023,12583
07/01/2023,42357
08/01/2023,77789
09/01/2023,80431
10/01/2023,63577
11/01/2023,45517
12/01/2023,53725
13/01/2023,66117
14/01/2023,59414
15/01/2023,69033
16/01/2023,61832
17/01/2023,76686
18/01/2023,55529
19/01/2023,13188
20/01/2023,29328
21/01/2023,72026
22/01/2023,18202
23/01/2023,44390
24/01/2023,68668
25/01/2023,73167
26/01/2023,61750
27/01/2023,35117
28/01/2023,70903
29/01/2023,39586
30/01/2023,13620
31/01/2023,45874
01/02/2023,72151
02/02/2023,64024
03/02/2023,69326
04/02/2023,79500
05/02/2023,75883
06/02/2023,62387
07/02/2023,45276
08/02/2023,13757
09/02/2023,15516
10/02/2023,67457
11/02/2023,69042
12/02/2023,64981
13/02/2023,40385
14/02/2023,27864
15/02/2023,61928
16/02/2023,72275
17/02/2023,71839
18/02/2023,62087
19/02/2023,48718
20/02/2023,67847
21/02/2023,58487
22/02/2023,14468
23/02/2023,24159
24/02/2023,63200
25/02/2023,62801
26/02/2023,60558
27/02/2023,33008
28/02/2023,33467
01/03/2023,54799
02/03/2023,65667
03/03/2023,27984
04/03/2023,50543
05/03/2023,66884
06/03/2023,58854
07/03/2023,61752
08/03/2023,62964
09/03/2023,67556
10/03/2023,64816
11/03/2023,59421
12/03/2023,34888
13/03/2023,29112
14/03/2023,24295
15/03/2023,61744
16/03/2023,61444
17/03/2023,45293
18/03/2023,62734
19/03/2023,58233
20/03/2023,9809
21/03/2023,22846
22/03/2023,23222
23/03/2023,18268
24/03/2023,51458
25/03/2023,12850
26/03/2023,26797
27/03/2023,17475
28/03/2023,21799
29/03/2023,33952
30/03/2023,53347
31/03/2023,52095
01/04/2023,16228
02/04/2023,29605
03/04/2023,48477
04/04/2023,57263
05/04/2023,42580
06/04/2023,34508
07/04/2023,31498
08/04/2023,53553
09/04/2023,58675
10/04/2023,48499
11/04/2023,47222
12/04/2023,29908
13/04/2023,40573
14/04/2023,36326
15/04/2023,51889
16/04/2023,31506
17/04/2023,49604
18/04/2023,43531
19/04/2023,42136
20/04/2023,10348
21/04/2023,41465
22/04/2023,46395
23/04/2023,27049
24/04/2023,24098
25/04/2023,40399
26/04/2023,40844
27/04/2023,44282
28/04/2023,45625
29/04/2023,4531
30/04/2023,27403
01/05/2023,37884
02/05/2023,41856
03/05/2023,43523
04/05/2023,46414
05/05/2023,46247
06/05/2023,44717
07/05/2023,23640
08/05/2023,32634
09/05/2023,41823
10/05/2023,44289
11/05/2023,16130
12/05/2023,17434
13/05/2023,14131
14/05/2023,13246
15/05/2023,11571
16/05/2023,16917
17/05/2023,14173
18/05/2023,13165
19/05/2023,17106
20/05/2023,15824
21/05/2023,16520
22/05/2023,16375
23/05/2023,16014
24/05/2023,16255
25/05/2023,6422
26/05/2023,5775
27/05/2023,16024
28/05/2023,11554
29/05/2023,15164
30/05/2023,34929
31/05/2023,24815
01/06/2023,10965
02/06/2023,20311
03/06/2023,31800
04/06/2023,13151
05/06/2023,15572
06/06/2023,22370
07/06/2023,32907
08/06/2023,7307
09/06/2023,25844
10/06/2023,37693
11/06/2023,36837
12/06/2023,23910
13/06/2023,35833
14/06/2023,37222
15/06/2023,37090
16/06/2023,35870
17/06/2023,36968
18/06/2023,33719
19/06/2023,36180
20/06/2023,37809
21/06/2023,36374
22/06/2023,16602
23/06/2023,36178
24/06/2023,38103
25/06/2023,37736
26/06/2023,38769
27/06/2023,30219
28/06/2023,7284
29/06/2023,38257
30/06/2023,37585
01/07/2023,37027
02/07/2023,35880
03/07/2023,15142
04/07/2023,8494
05/07/2023,27369
06/07/2023,34640
07/07/2023,38269
08/07/2023,38955
09/07/2023,38304
10/07/2023,38924
11/07/2023,38237
12/07/2023,38310
13/07/2023,38559
14/07/2023,38579
15/07/2023,29054
16/07/2023,11784
17/07/2023,23136
18/07/2023,36523
19/07/2023,41023
20/07/2023,35860
21/07/2023,27273
22/07/2023,37641
23/07/2023,38155
24/07/2023,30511
25/07/2023,40244
26/07/2023,42019
27/07/2023,41479
28/07/2023,26626
29/07/2023,25505
30/07/2023,41898
31/07/2023,43012
01/08/2023,43077
02/08/2023,19967
03/08/2023,42570
04/08/2023,43010
05/08/2023,5977
06/08/2023,30038
07/08/2023,21392
08/08/2023,42693
09/08/2023,45063
10/08/2023,39984
11/08/2023,46527
12/08/2023,41923
13/08/2023,17068
14/08/2023,9063
15/08/2023,32063
16/08/2023,26856
17/08/2023,47486
18/08/2023,46858
19/08/2023,47005
20/08/2023,47836
21/08/2023,48315
22/08/2023,33737
23/08/2023,28335
24/08/2023,28238
25/08/2023,49560
26/08/2023,44867
27/08/2023,49018
28/08/2023,47799
29/08/2023,43831
30/08/2023,41424
31/08/2023,36848
01/09/2023,53431
02/09/2023,52845
03/09/2023,53091
04/09/2023,52615
05/09/2023,58164
06/09/2023,57503
07/09/2023,54348
08/09/2023,29993
09/09/2023,59543
10/09/2023,58776
11/09/2023,56503
12/09/2023,41469
13/09/2023,57974
14/09/2023,54951
15/09/2023,53578
16/09/2023,56926
17/09/2023,59663
18/09/2023,57210
19/09/2023,56335
20/09/2023,57411
21/09/2023,49655
22/09/2023,61447
23/09/2023,51451
24/09/2023,54621
25/09/2023,61738
26/09/2023,30234
27/09/2023,46473
28/09/2023,39736
29/09/2023,63052
30/09/2023,64792
01/10/2023,62600
02/10/2023,60411
03/10/2023,56788
04/10/2023,11995
05/10/2023,70703
06/10/2023,34435
07/10/2023,58912
08/10/2023,60550
09/10/2023,68409
10/10/2023,48333
11/10/2023,61609
12/10/2023,65739
13/10/2023,66767
14/10/2023,63030
15/10/2023,69308
16/10/2023,50612
17/10/2023,35008
18/10/2023,56064
19/10/2023,53106
20/10/2023,70455
21/10/2023,65482
22/10/2023,72380
23/10/2023,72921
24/10/2023,69856
25/10/2023,43890
26/10/2023,45050
27/10/2023,51372
28/10/2023,59955
29/10/2023,75371
30/10/2023,57217
31/10/2023,67108
01/11/2023,46154
02/11/2023,70759
03/11/2023,38978
04/11/2023,9396
05/11/2023,24189
06/11/2023,40011
07/11/2023,69227
08/11/2023,59197
09/11/2023,45293
10/11/2023,73883
11/11/2023,74275
12/11/2023,56053
13/11/2023,45444
14/11/2023,57835
15/11/2023,37191
16/11/2023,51407
17/11/2023,74247
18/11/2023,71111
19/11/2023,78823
20/11/2023,40944
21/11/2023,22211
22/11/2023,67269
23/11/2023,51902
24/11/2023,26878
25/11/2023,18672
26/11/2023,60647
27/11/2023,66590
28/11/2023,7214
29/11/2023,36027
30/11/2023,46482
01/12/2023,61565
02/12/2023,45094
03/12/2023,66618
04/12/2023,66682
05/12/2023,76586
06/12/2023,75990
07/12/2023,62870
08/12/2023,64614
09/12/2023,69170
10/12/2023,36362
11/12/2023,61888
12/12/2023,64838
13/12/2023,64839
14/12/2023,71747
15/12/2023,79327
16/12/2023,73427
17/12/2023,59255
18/12/2023,53521
19/12/2023,34166
20/12/2023,15722
21/12/2023,41464
22/12/2023,82361
23/12/2023,69145
24/12/2023,12641
25/12/2023,60016
26/12/2023,46463
27/12/2023,39500
28/12/2023,69376
29/12/2023,14985
30/12/2023,62362
31/12/2023,24769
01/01/2024,21061
02/01/2024,59739
03/01/2024,49866
04/01/2024,46801
05/01/2024,66805
06/01/2024,71901
07/01/2024,55223
08/01/2024,20514
09/01/2024,53652
10/01/2024,68064
11/01/2024,37641
12/01/2024,69694
13/01/2024,74502
14/01/2024,22753
15/01/2024,14726
16/01/2024,26955
17/01/2024,30827
18/01/2024,55715
19/01/2024,69581
20/01/2024,39088
21/01/2024,75331
22/01/2024,53675
23/01/2024,45914
24/01/2024,43769
25/01/2024,26639
26/01/2024,19013
27/01/2024,15082
28/01/2024,64942
29/01/2024,74547
30/01/2024,21941
31/01/2024,12006
01/02/2024,68476
02/02/2024,63134
03/02/2024,51662
04/02/2024,62869
05/02/2024,36079
06/02/2024,23925
07/02/2024,39123
08/02/2024,54236
09/02/2024,38346
10/02/2024,49681
11/02/2024,64578
12/02/2024,73705
13/02/2024,54493
14/02/2024,22710
15/02/2024,15761
16/02/2024,38043
17/02/2024,53459
18/02/2024,43797
19/02/2024,10772
20/02/2024,25056
21/02/2024,54249
22/02/2024,68519
23/02/2024,37272
24/02/2024,9643
25/02/2024,66425
26/02/2024,42252
27/02/2024,14962
28/02/2024,35004
29/02/2024,48815
01/03/2024,35722
02/03/2024,11363
03/03/2024,65763
04/03/2024,47245
05/03/2024,62349
06/03/2024,56726
07/03/2024,35254
08/03/2024,57437
09/03/2024,65140
10/03/2024,62219
11/03/2024,58629
12/03/2024,61710
13/03/2024,49483
14/03/2024,42762
15/03/2024,49533
16/03/2024,32667
17/03/2024,14357
18/03/2024,41670
19/03/2024,43924
20/03/2024,12591
21/03/2024,53169
22/03/2024,39634
23/03/2024,22018
