Day of the Year,Temperature,Irradiance,Pressure,Rainfall,Observed Demand,Predicted Demand,Delta
247.0,26.149419318735333,17.456500668190223,10.557130283004865,0.005557554764095385,189.0,174.63711555437482,-14.362884445625184,
121.0,21.601698733799346,13.740936247789403,11.550878676267896,2.3937933536382277,167.0,182.8457381237841,15.845738123784088,
238.0,15.600192681721067,8.602645409040107,12.04366743816084,1.2285064094636429,206.4,213.45444485814508,7.054444858145075,
81.0,24.402273096595657,11.32565590313982,18.216753647228668,1.0102135285519747,181.8,179.6163722908741,-2.183627709125915,
256.0,16.21287615799772,16.477190503950965,10.231350460594815,0.3924408409458753,192.7,189.080745428495,-3.619254571504996,
65.0,24.764479116772666,9.939475087787041,22.419567421655007,30.00012056799229,176.5,188.30231675922988,11.802316759229882,
173.0,17.05766907755324,7.7439766729104464,12.426921300703741,8.074057641727347,193.2,212.55095537965772,19.350955379657734,
32.0,32.13763761586606,23.005440226492414,24.959746067647668,1.2026783082689647,226.9,215.9632710705206,-10.936728929479415,
258.0,17.08740838517506,18.074740776661255,9.638736806841093,3.2865590852372164,184.6,181.23068184690604,-3.369318153093957,
209.0,22.283193713129542,10.628130800435946,10.919552252080198,0.1991684825241541,200.8,196.35681973672666,-4.443180263273348,
234.0,24.934554130017467,15.74851759103034,11.220766188927374,0.019628362408763006,164.6,177.92830510070803,13.328305100708036,
19.0,28.526844395103055,14.5172221049951,23.22020580670617,0.26755872095097993,209.5,199.66251653124456,-9.837483468755437,
86.0,24.56543101967422,8.201398251103493,20.88482662713294,6.701935673207552,185.9,185.0010069023879,-0.8989930976121059,
164.0,21.58025178213689,6.580090834671762,12.158057816861929,0.6212832683977096,199.4,202.90332483032057,3.5033248303205653,
5.0,21.455632150738438,15.212444292655,15.876209122979436,12.0111713086369,167.4,169.6107009381422,2.210700938142196,
173.0,14.416941169096466,9.174055931684224,7.310593725881797,0.3752031337888804,221.1,229.34415505863038,8.244155058630383,
351.0,20.56832268496604,20.902010027050736,11.335659933544049,0.3892630981198296,158.9,165.9023232203301,7.002323220330084,
90.0,24.686075851189283,9.47479024015939,20.40142059559952,3.524516130184676,176.1,183.29857421796126,7.198574217961266,
65.0,26.47921996858917,22.705623584115944,15.149366706473868,0.1175512815046582,174.8,171.28202814643356,-3.5179718535664506,
366.0,23.5276484449993,14.048246565052548,18.310069824112258,1.9366944161660236,164.9,170.49810015417967,5.598100154179662,
34.0,24.492321314164325,25.367767952590334,14.939683182985362,1.3499056062866217,175.1,165.85135493839232,-9.248645061607675,
237.0,15.60352192495686,11.686522629826673,7.890933415702026,29.388601051107184,209.5,209.2250278014656,-0.2749721985344138,
24.0,27.232336227069297,18.05365180434286,21.076838196298514,1.9815654813137522,218.0,188.252672201569,-29.747327798431,
11.0,29.304822164939647,23.477119606432037,25.9903361620363,0.3325941909611024,207.5,208.84031558770735,1.3403155877073516,
191.0,14.587742363113314,6.836132662915431,10.69479025075582,5.686236118458561,219.7,227.776947983436,8.076947983436014,
40.0,25.445915706863506,18.58561285483538,15.56982499800873,0.1694788455095936,173.7,172.6361531394511,-1.0638468605488924,
298.0,21.54317363408343,25.956618931373928,11.290251327114838,0.6170564532166789,162.3,161.20957229822992,-1.0904277017700963,
67.0,22.631760464840596,6.341406242037351,23.319306836478194,79.28055966895285,192.1,187.36333636417345,-4.736663635826545,
179.0,15.848427714713003,8.311581353029762,10.189969328802976,0.6914500310072559,223.1,222.21138894723987,-0.8886110527601261,
168.0,16.23873174581383,7.351400141956291,11.588441126235903,12.997125405750996,214.2,218.46865714723407,4.26865714723408,
2.0,27.36950063239278,20.71004477661303,16.874722678844556,0.15693325020066817,184.2,180.10014363509967,-4.099856364900319,
38.0,29.783429356190695,26.706791502827876,22.24784940442167,0.6765539249897401,226.2,198.27285676124671,-27.927143238753274,
219.0,16.23620240326429,10.051135141215095,11.42404710826222,1.5700349742180253,204.9,211.51210524838652,6.612105248386513,
188.0,16.90325856116253,10.896445492448311,9.085824361401986,0.02615070092213315,215.7,213.92491248753242,-1.7750875124675645,
224.0,20.31984062056093,13.254634490758537,9.164931139753214,0.021471353165214316,186.3,196.26536965852742,9.965369658527408,
248.0,16.999974362906215,14.394381778664167,9.787044843862304,12.732530926944971,171.0,194.80469738819647,23.804697388196473,
113.0,21.030141871861957,15.095429661848144,9.360229831069919,0.0011818173404749132,186.5,181.513204276502,-4.986795723498005,
194.0,20.13542445690547,11.563906469238903,9.837211615113121,0.03033195077256203,204.8,201.21484709720872,-3.585152902791293,
81.0,21.571755094058766,17.47244643669724,11.10532952949631,1.7233664968594955,166.0,170.3069533275199,4.306953327519892,
233.0,20.380684449345182,15.225145739320057,8.549375885663078,0.02628806257219237,204.9,189.51334410502892,-15.386655894971085,
61.0,29.42816338737269,15.51239077777208,23.45354134572846,1.0161301646159948,217.9,200.3742564699833,-17.52574353001671,
202.0,17.157459172982144,12.204757873819013,7.074600730962334,0.06346350794595106,208.4,211.73043877059047,3.3304387705904617,
166.0,17.181773455584224,8.299152526430591,11.589632282511772,0.09443484967689086,216.2,213.2565612256247,-2.943438774375295,
219.0,17.7321340377546,13.528942689528442,8.850546640377257,0.010948531119789141,187.9,201.88251355236704,13.982513552367038,
125.0,18.984123084707072,6.6554192514255055,15.982213218452534,17.037372480920297,193.2,197.03283886309987,3.83283886309988,
18.0,28.9353180263784,27.34110876632877,24.262606612208444,21.8015331874068,196.0,193.63572033665295,-2.364279663347048,
50.0,25.760139224899955,9.73211868714267,22.542051284327638,1.563164463308407,194.4,190.31902106844763,-4.08097893155238,
3.0,29.205756356453325,29.83089192084304,19.69864332057969,0.4596869278839096,178.9,190.12089657889516,11.22089657889515,
251.0,17.98617980079376,17.986519279146254,6.089521595000557,0.09268711749070686,179.4,184.89251635121119,5.492516351211179,
83.0,24.61979000958033,15.719095218478934,16.62279419913978,0.12084634167183443,160.9,174.75603166418193,13.856031664181927,
250.0,25.777989217742256,17.682318923124544,11.152049120488446,0.0559264349835758,175.9,173.7719544628709,-2.128045537129111,
126.0,19.580400898382717,11.962895821435911,12.65896122257554,2.7290174381887664,185.6,190.65986079386147,5.059860793861475,
78.0,23.290554849648423,9.906754152552958,19.564060069087603,50.09761483167922,182.6,185.3342664673529,2.73426646735291,
322.0,27.602795836868765,28.13267540559816,13.526580275282091,0.15475611198561565,180.1,171.4930245746744,-8.6069754253256,
126.0,20.02122324955304,13.360408199762096,10.744710738923727,3.6540624569292715,186.9,188.67047978864335,1.7704797886433425,
203.0,16.00418668129575,12.153756643437303,7.852859868874389,0.0010468096083311553,219.4,213.72051712749567,-5.679482872504337,
139.0,22.133381904746756,10.968863622143928,15.048856389243632,0.5315421908019384,176.6,184.43860740096733,7.838607400967334,
34.0,27.586045052434674,27.622537650202478,12.200251245491332,0.1418721927752772,189.2,171.88533958463796,-17.314660415362027,
310.0,16.640368535336883,7.02048791332814,15.57150876400899,5.136512931757088,183.1,189.00295188148516,5.902951881485166,
94.0,26.549362374962097,17.558352862989647,13.729945477434715,0.6307572722811773,171.4,172.50194323393785,1.1019432339378454,
