Date,irradiance,pressure,rainfall,temperature
01/01/2023,24.9401203857435,21.0821269025839,2.97901203410335,27.0441855644584
02/01/2023,28.396868145032,18.9166662910505,1.11015508915916,28.277485789152
03/01/2023,29.830891920843,19.6986433205797,0.45968692788391,29.2057563564533
04/01/2023,13.9579599707347,20.5537849061293,1.87948750941511,24.9975412227742
05/01/2023,15.212444292655,15.8762091229794,12.0111713086369,21.4556321507384
06/01/2023,13.2477313965503,15.5209386269054,3.05678578934134,20.4902039984232
07/01/2023,17.9815635016092,16.7818050927067,30.487987419203,22.8492277396416
08/01/2023,29.8026691948484,14.1654219758715,1.64376152682281,25.2180011635202
09/01/2023,31.4018913007169,16.1350769625691,0.00480541725443587,28.1996833362706
10/01/2023,29.8105743798598,17.4376224423853,0.0173668807165864,26.9300814494086
11/01/2023,19.6621729032395,17.5244284684864,0.00777035020778323,26.593646381232
12/01/2023,24.5606807713361,18.739187523443,0.0829770478802005,27.8808448818386
13/01/2023,25.3745231388371,19.0962915944062,0.214261262200986,28.1314456188442
14/01/2023,24.0238611462579,19.9725409273836,1.03710148151135,27.3129032578269
15/01/2023,29.6910383632293,18.5214456162116,0.829360281175919,30.187966988442
16/01/2023,26.0959436831379,19.6308515912762,0.855157048212059,27.8581357667616
17/01/2023,27.7464777404644,20.2154398669096,0.432821791800808,28.2485697774539
18/01/2023,24.1980172530963,19.7844526141169,0.269972120117459,30.5637326185556
19/01/2023,8.0251006590669,18.3759603905133,13.052877965652,20.3225188687867
20/01/2023,12.7204200096411,16.7491296497997,4.63075444524941,21.8676541506165
21/01/2023,24.4521853365985,15.8919665331445,1.49762858060297,24.706819476943
22/01/2023,9.11236481595582,18.6929399543597,2.97697687594181,21.279929848878
23/01/2023,21.3720744779499,18.4762877257369,9.75327443087652,25.0828052070986
24/01/2023,26.6105433800582,19.2454387426128,0.754218293125151,28.031089651668
25/01/2023,28.0067031608722,20.3824189093341,6.96489220523774,28.3223147769841
26/01/2023,25.2128280414822,22.0565074687777,0.080042854863158,32.2263928939848
27/01/2023,21.0084480153019,21.5080569954545,1.84338729864074,27.4055130802359
28/01/2023,27.864923033826,24.025653005515,1.59568470578016,31.2974424304429
29/01/2023,15.8466191023106,26.0852928576611,0.34953244181267,30.0459745053717
30/01/2023,10.5743058334025,23.8891880934774,6.63943601479712,26.5280848419707
31/01/2023,19.9294979660557,19.8221432586877,24.0772661284725,26.8609944769597
01/02/2023,28.0773929609252,18.4684134257926,0.450846911528216,27.6562667602028
02/02/2023,26.4479358821453,20.9111553540309,0.0440065022902162,30.0362524523989
03/02/2023,27.6225376502025,12.2002512454913,0.141872192775277,27.5860450524347
04/02/2023,28.1450597821808,9.46720143339089,0.179887177060905,26.2085594216389
05/02/2023,28.888358842844,12.2859012124556,0.00783984467018744,27.7319430234411
06/02/2023,26.1258301443532,19.693436628913,0.0758530911650401,28.56584782398
07/02/2023,21.4703918651842,21.6081113123272,0.242573468614046,27.835875888143
08/02/2023,17.3795330217332,20.1048356794286,1.29131993282018,26.0588532260795
09/02/2023,10.1028789374311,21.5377738054291,24.9353952272202,24.3550004089996
10/02/2023,27.2258510419115,20.4947227852326,21.5858804573747,29.4983908694671
11/02/2023,26.5872322331398,20.5639808359427,0.56203908155104,33.0081578597001
12/02/2023,25.8917873427819,15.9335591744642,0.0141184582410914,27.6144472176453
13/02/2023,17.1391287438211,17.9821678196587,1.12779834409532,24.199574658933
14/02/2023,11.9009805353343,17.5584348134234,2.50867231019573,22.4576747480243
15/02/2023,24.2808314216345,19.2516225112365,10.8273090899759,26.9154746576768
16/02/2023,26.92458550378,17.537358146432,0.0476194640069718,29.5653893254328
17/02/2023,26.5722837915416,20.0415124254365,0.00431850630617896,30.4639619266408
18/02/2023,23.2832446155469,20.9281431523051,0.228968312528792,32.8412131671208
19/02/2023,21.9415159135782,19.4609842644367,6.20089857534798,27.927605185401
20/02/2023,25.6108624330785,23.1466902668104,0.0654355116451619,30.5502644579556
21/02/2023,23.0082358687039,22.7410853121246,0.332449201627563,29.3920318350545
22/02/2023,7.99993727656933,17.8633475175015,43.275158360766,21.6587481649613
23/02/2023,13.9413406548858,16.8246791741502,5.7475251827509,23.4377737106316
24/02/2023,21.7966754276889,17.4652861126671,2.1894093433442,25.6164076509751
25/02/2023,23.7329940259107,17.6209945624647,0.433812372371625,27.01615814512
26/02/2023,23.8938853478462,18.5028543225812,0.00723495210234414,31.140605894793
27/02/2023,16.8781941404132,20.5204311347528,0.370741491266597,26.669356328736
28/02/2023,17.4081872887382,20.5023068860887,0.964434563028241,27.0717466004532
01/03/2023,22.0257320381602,21.2389719669627,0.177197374291226,28.2780933785383
02/03/2023,20.730556287556,20.2310200644303,0.748059132056204,26.9214171572925
03/03/2023,16.0106004536767,20.9836716159078,1.08129373685891,26.0334287508105
04/03/2023,18.7079161460403,20.5386175807929,4.55405921562818,26.3548625547686
05/03/2023,23.1803423692327,19.1370498658085,0.217528822848169,29.5690255033106
06/03/2023,23.3014451740041,19.5048578428034,1.572850273307,36.1297708592977
07/03/2023,22.4562719244411,16.6722796443586,0.0177319104597237,32.6257399076836
08/03/2023,21.5037662105495,12.6754523171243,0.0903544703026996,29.1307852865934
09/03/2023,22.996812582878,12.2725017933875,0.102041903166586,26.8293944019078
10/03/2023,20.5809102832178,16.0053785999037,0.0189495929288061,27.1425911156467
11/03/2023,21.1718404385136,19.0797217653541,0.0286623392292548,30.2681710458091
12/03/2023,15.4273246049382,20.5685893244875,0.786406102646359,26.7930554563723
