date,au.nem.nsw1.demand.energy (GWh),au.nem.nsw1.demand.market_value (AUD),au.nem.nsw1.fuel_tech.battery_charging.energy (GWh),au.nem.nsw1.fuel_tech.battery_charging.market_value (AUD),au.nem.nsw1.fuel_tech.battery_discharging.energy (GWh),au.nem.nsw1.fuel_tech.battery_discharging.market_value (AUD),au.nem.nsw1.fuel_tech.bioenergy_biogas.emissions (tCO2e),au.nem.nsw1.fuel_tech.bioenergy_biogas.energy (GWh),au.nem.nsw1.fuel_tech.bioenergy_biogas.market_value (AUD),au.nem.nsw1.fuel_tech.coal_black.emissions (tCO2e),au.nem.nsw1.fuel_tech.coal_black.energy (GWh),au.nem.nsw1.fuel_tech.coal_black.market_value (AUD),au.nem.nsw1.fuel_tech.distillate.emissions (tCO2e),au.nem.nsw1.fuel_tech.distillate.energy (GWh),au.nem.nsw1.fuel_tech.distillate.market_value (AUD),au.nem.nsw1.fuel_tech.exports.emissions (tCO2e),au.nem.nsw1.fuel_tech.exports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.exports.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ccgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ccgt.market_value (AUD),au.nem.nsw1.fuel_tech.gas_ocgt.emissions (tCO2e),au.nem.nsw1.fuel_tech.gas_ocgt.energy (GWh),au.nem.nsw1.fuel_tech.gas_ocgt.market_value (AUD),au.nem.nsw1.fuel_tech.hydro.energy (GWh),au.nem.nsw1.fuel_tech.hydro.market_value (AUD),au.nem.nsw1.fuel_tech.imports.emissions (tCO2e),au.nem.nsw1.fuel_tech.imports.emissions_factor (tCO2e/MWh),au.nem.nsw1.fuel_tech.imports.energy (GWh),au.nem.nsw1.fuel_tech.pumps.energy (GWh),au.nem.nsw1.fuel_tech.pumps.market_value (AUD),au.nem.nsw1.fuel_tech.solar_rooftop.energy (GWh),au.nem.nsw1.fuel_tech.solar_rooftop.market_value (AUD),au.nem.nsw1.fuel_tech.solar_utility.energy (GWh),au.nem.nsw1.fuel_tech.solar_utility.market_value (AUD),au.nem.nsw1.fuel_tech.wind.energy (GWh),au.nem.nsw1.fuel_tech.wind.market_value (AUD),au.nem.nsw1.temperature_max (C),au.nem.nsw1.temperature_mean (C),au.nem.nsw1.temperature_min (C)
11/01/2023,177.6,18987387.0,0.06361,6570.0,0.05095,7025.0,0.0,0.0,0.0,114055.0,123.5,13395873.0,0.0,0.0,0.0,4905.0,0.6502,7.543,3039.0,6.788,750378.0,105.9,0.1354,21003.0,14.31,1618631.0,4290.0,0.7583,5.658,0.1489,11340.0,23.01,2271381.0,19.45,1878493.0,15.25,1656548.0,26.7,22.57,20.8
12/01/2023,181.9,20619898.0,0.03052,3536.0,0.02167,2826.0,0.0,0.0,0.0,123960.0,134.4,15407712.0,0.0,0.0,0.0,6819.0,0.6522,10.46,893.4,1.995,251810.0,106.2,0.1357,16651.0,17.04,1961518.0,5372.0,0.7746,6.935,0.09376,11329.0,26.33,2494293.0,22.31,2173685.0,9.349,1140829.0,26.8,22.91,20.8
13/01/2023,183.6,24422831.0,0.04826,6591.0,0.03147,4032.0,0.0,0.0,0.0,116187.0,125.9,16856388.0,0.0,0.0,0.0,3258.0,0.5873,5.547,1.971,0.003353,432.7,1350.0,1.85,302445.0,19.62,2739016.0,5376.0,0.753,7.139,1.201,120082.0,25.4,2983394.0,23.44,2897009.0,11.09,1542691.0,27.0,22.86,19.5
14/01/2023,171.7,17901217.0,0.02628,2459.0,0.01843,2464.0,0.0,0.0,0.0,103041.0,111.4,11754272.0,0.0,0.0,0.0,2076.0,0.5663,3.666,24.2,0.04117,7190.0,0.0,0.0,0.0,13.78,1659424.0,8080.0,0.7781,10.38,1.911,149431.0,24.72,2071918.0,23.51,1949296.0,15.89,1746549.0,26.5,22.8,19.6
15/01/2023,175.2,13955996.0,0.03794,1689.0,0.02343,2960.0,0.0,0.0,0.0,100859.0,109.0,8853836.0,0.0,0.0,0.0,546.6,0.6929,0.7889,2.252,0.003832,290.5,0.0,0.0,0.0,9.706,926262.0,15090.0,0.7235,20.86,2.367,62481.0,29.95,1759627.0,21.08,1197709.0,15.03,1310749.0,28.4,23.86,18.9
16/01/2023,189.6,20319347.0,0.04684,4420.0,0.02102,2445.0,0.0,0.0,0.0,118932.0,128.9,13877184.0,0.0,0.0,0.0,1455.0,0.5484,2.654,2.441,0.004153,420.9,261.6,0.3612,51594.0,12.85,1417719.0,7783.0,0.8285,9.393,0.1604,14692.0,26.47,2806758.0,20.4,2091001.0,20.38,2198962.0,29.1,24.41,21.5
17/01/2023,190.8,19130739.0,0.01969,1911.0,0.03291,3509.0,0.0,0.0,0.0,118169.0,128.1,12996268.0,0.0,0.0,0.0,1598.0,0.5937,2.692,1276.0,2.851,362365.0,0.0,0.0,0.0,6.191,660018.0,11880.0,0.7371,16.12,0.08761,6462.0,27.14,2412922.0,23.0,2033592.0,17.15,1746719.0,28.3,23.63,20.1
18/01/2023,199.6,20047402.0,0.113,10776.0,0.08729,7267.0,0.0,0.0,0.0,120842.0,131.0,13234427.0,0.0,0.0,0.0,1550.0,0.6429,2.411,2657.0,5.849,606698.0,1964.0,2.612,237006.0,15.3,1486843.0,13750.0,0.7063,19.47,0.0,0.0,24.59,2017788.0,12.92,1171878.0,14.53,1505491.0,30.1,23.92,19.5
19/01/2023,183.9,15902251.0,0.03249,2743.0,0.01633,1671.0,0.0,0.0,0.0,109680.0,118.9,10368626.0,0.0,0.0,0.0,2082.0,0.6095,3.415,3.028,0.005152,449.7,0.0,0.0,0.0,7.97,745863.0,17305.0,0.7022,24.64,0.0,0.0,12.56,971852.0,19.99,1521991.0,15.86,1341726.0,21.5,19.73,18.3
20/01/2023,174.2,11132233.0,0.04302,2610.0,0.03052,1488.0,0.0,0.0,0.0,101027.0,109.2,7195718.0,0.0,0.0,0.0,1182.0,0.5475,2.159,2.051,0.003489,222.9,0.0,0.0,0.0,2.514,162883.0,11429.0,0.7227,15.81,0.7557,30353.0,16.45,749359.0,21.42,1036047.0,27.27,1823587.0,21.8,19.11,16.9
21/01/2023,159.3,9870789.0,0.04594,2149.0,0.03901,3805.0,0.0,0.0,0.0,96305.0,104.0,6754151.0,0.0,0.0,0.0,2166.0,0.6044,3.583,1.977,0.003364,207.0,0.0,0.0,0.0,4.757,397747.0,13974.0,0.6772,20.64,4.085,44291.0,26.65,276925.0,14.79,109568.0,18.65,1517372.0,25.1,20.62,16.5
22/01/2023,164.6,13970321.0,0.02276,1593.0,0.01274,1486.0,0.0,0.0,0.0,99708.0,107.8,9421202.0,0.0,0.0,0.0,821.0,0.7326,1.121,2.021,0.003438,292.0,0.0,0.0,0.0,5.13,505324.0,17393.0,0.7155,24.31,1.316,90261.0,12.06,880886.0,13.18,919763.0,15.49,1330071.0,21.3,19.36,17.9
23/01/2023,174.0,18727464.0,0.02684,2116.0,0.01601,1985.0,0.0,0.0,0.0,113579.0,123.0,13609085.0,0.0,0.0,0.0,3624.0,0.6345,5.712,1.975,0.00336,348.1,0.0,0.0,0.0,10.65,1375938.0,10804.0,0.7214,14.98,0.7333,56052.0,22.54,1806228.0,22.74,1866696.0,8.305,908697.0,26.7,20.98,16.8
24/01/2023,183.6,21013975.0,0.06374,6823.0,0.03396,3895.0,0.0,0.0,0.0,121820.0,132.1,15208830.0,0.0,0.0,0.0,2593.0,0.6168,4.204,2.55,0.004339,478.4,293.4,0.3749,41511.0,13.7,1636199.0,12011.0,0.788,15.24,0.1605,14267.0,27.3,3040824.0,18.66,1968968.0,7.757,921533.0,27.6,22.57,18.3
25/01/2023,191.2,22598061.0,0.06188,5991.0,0.066,9806.0,0.0,0.0,0.0,125267.0,135.8,16351868.0,0.0,0.0,0.0,2914.0,0.634,4.595,88.66,0.1509,25341.0,846.3,1.168,204547.0,13.32,1778730.0,10503.0,0.7422,14.15,1.424,112211.0,29.23,2647129.0,24.44,2372445.0,6.58,726030.0,28.2,23.0,18.2
26/01/2023,190.3,19765259.0,0.08233,7569.0,0.06529,6736.0,0.0,0.0,0.0,117157.0,126.9,13394200.0,0.0,0.0,0.0,2671.0,0.6199,4.308,2.953,0.005024,505.8,304.6,0.4205,52187.0,10.69,1223136.0,16090.0,0.7721,20.84,1.87,138910.0,26.77,2712904.0,21.22,1977145.0,14.4,1510304.0,29.4,24.3,20.9
27/01/2023,196.0,21095326.0,0.04637,4409.0,0.01935,2797.0,0.0,0.0,0.0,127953.0,138.8,15045946.0,0.0,0.0,0.0,3174.0,0.6503,4.881,1.917,0.003262,343.5,0.09786,0.000125,8.72,10.84,1253349.0,9049.0,0.8961,10.1,0.6992,62082.0,21.49,2087959.0,24.17,2445605.0,16.94,1845719.0,27.0,23.85,21.3
28/01/2023,200.7,23793235.0,0.09355,6622.0,0.07585,10282.0,0.0,0.0,0.0,120464.0,130.6,15782038.0,0.0,0.0,0.0,1020.0,0.5898,1.73,1416.0,3.105,471772.0,790.5,1.069,169550.0,15.11,2154920.0,14302.0,0.7064,20.25,2.92,252533.0,28.96,2881825.0,20.78,1958028.0,11.47,1261871.0,29.1,25.45,22.1
29/01/2023,201.2,32513095.0,0.1344,27521.0,0.1162,34867.0,0.0,0.0,0.0,120132.0,130.9,20617087.0,48.78,0.0483,18425.0,1069.0,0.6662,1.605,3558.0,7.81,1257894.0,3420.0,4.545,693677.0,23.36,4415658.0,14078.0,0.75,18.77,0.0,0.0,16.94,3158754.0,7.627,1327007.0,9.727,1241548.0,29.3,25.88,23.4
30/01/2023,201.0,23948482.0,0.04817,4998.0,0.0437,5631.0,0.0,0.0,0.0,129486.0,141.1,16931710.0,0.0,0.0,0.0,2066.0,0.7074,2.921,2707.0,6.047,734974.0,872.4,1.115,110770.0,13.96,1704092.0,14581.0,0.7752,18.81,0.0,0.0,11.17,1268977.0,11.0,1200783.0,12.0,1395714.0,29.8,23.25,20.5
31/01/2023,190.8,25208924.0,0.06596,7246.0,0.04129,6395.0,0.01909,0.00106,94.24,127216.0,138.6,18462579.0,7.962,0.007883,768.7,2711.0,0.6974,3.887,1.89,0.003216,418.6,402.8,0.5147,88680.0,13.87,1900782.0,11155.0,0.8354,13.35,0.8869,92914.0,21.34,2629612.0,21.01,2618932.0,7.221,964081.0,27.1,22.93,20.6
