Date,temperature
01/01/2023,27.044185564458374
02/01/2023,28.27748578915204
03/01/2023,29.205756356453325
04/01/2023,24.997541222774224
05/01/2023,21.455632150738438
06/01/2023,20.490203998423173
07/01/2023,22.849227739641602
08/01/2023,25.218001163520213
09/01/2023,28.199683336270578
10/01/2023,26.930081449408593
11/01/2023,26.59364638123203
12/01/2023,27.88084488183858
13/01/2023,28.131445618844236
14/01/2023,27.312903257826857
15/01/2023,30.18796698844202
16/01/2023,27.858135766761592
17/01/2023,28.248569777453927
18/01/2023,30.563732618555623
19/01/2023,20.32251886878667
20/01/2023,21.8676541506165
21/01/2023,24.706819476942997
22/01/2023,21.279929848878016
23/01/2023,25.082805207098634
24/01/2023,28.031089651668044
25/01/2023,28.322314776984133
26/01/2023,32.22639289398479
27/01/2023,27.405513080235853
28/01/2023,31.297442430442928
29/01/2023,30.045974505371678
30/01/2023,26.528084841970657
31/01/2023,26.86099447695969
01/02/2023,27.656266760202755
02/02/2023,30.036252452398923
03/02/2023,27.586045052434674
04/02/2023,26.208559421638874
05/02/2023,27.731943023441147
06/02/2023,28.56584782398002
07/02/2023,27.835875888142958
08/02/2023,26.058853226079506
09/02/2023,24.355000408999604
10/02/2023,29.49839086946707
11/02/2023,33.00815785970006
12/02/2023,27.614447217645278
13/02/2023,24.199574658933013
14/02/2023,22.457674748024303
15/02/2023,26.915474657676793
16/02/2023,29.565389325432815
17/02/2023,30.463961926640792
18/02/2023,32.84121316712081
19/02/2023,27.927605185400978
20/02/2023,30.550264457955556
21/02/2023,29.39203183505448
22/02/2023,21.658748164961253
23/02/2023,23.437773710631642
24/02/2023,25.61640765097509
25/02/2023,27.016158145120027
26/02/2023,31.140605894792994
27/02/2023,26.669356328735994
28/02/2023,27.07174660045316
01/03/2023,28.27809337853833
02/03/2023,26.921417157292463
03/03/2023,26.033428750810533
04/03/2023,26.354862554768566
05/03/2023,29.569025503310634
06/03/2023,36.129770859297686
07/03/2023,32.62573990768362
08/03/2023,29.130785286593355
09/03/2023,26.829394401907784
10/03/2023,27.142591115646724
11/03/2023,30.26817104580908
12/03/2023,26.793055456372286
13/03/2023,23.748945835717958
14/03/2023,24.257523603434326
15/03/2023,28.61157294136288
16/03/2023,34.96092342030376
17/03/2023,30.935844051941086
18/03/2023,30.981733802104337
19/03/2023,34.951600888573395
20/03/2023,23.649911821511317
21/03/2023,22.003195809784756
22/03/2023,24.402273096595657
23/03/2023,25.906873334782034
24/03/2023,25.483025396731797
25/03/2023,23.238833018721895
26/03/2023,24.52560911122855
27/03/2023,24.56543101967422
28/03/2023,25.31076467049756
29/03/2023,26.221054064723013
30/03/2023,23.551413979415837
31/03/2023,23.866932764383947
01/04/2023,20.315491499036344
02/04/2023,20.73585252025877
03/04/2023,23.375975439729746
04/04/2023,24.618819510289903
05/04/2023,24.28861804239565
06/04/2023,22.942133674418123
07/04/2023,23.292876618294112
08/04/2023,22.660003363666064
09/04/2023,20.28268983279218
10/04/2023,19.866321492073013
11/04/2023,21.449312403406893
12/04/2023,21.28806546357506
13/04/2023,21.798705220104132
14/04/2023,21.41601857790395
15/04/2023,24.271393840218938
16/04/2023,23.83655664029606
17/04/2023,21.613017489921045
18/04/2023,22.39836374733406
19/04/2023,24.26801879070419
20/04/2023,18.999137969203677
21/04/2023,21.3502387216882
22/04/2023,21.69246200083091
23/04/2023,22.808258573657863
24/04/2023,22.655636152243076
25/04/2023,23.770028311948025
26/04/2023,22.567898605082515
27/04/2023,24.154680711285717
28/04/2023,25.81519287186816
29/04/2023,18.426641989979945
30/04/2023,18.627856398160336
01/05/2023,19.444446050381558
02/05/2023,21.278051756119474
03/05/2023,22.46207503343394
04/05/2023,19.598234617282227
05/05/2023,20.950107405404623
06/05/2023,20.594218126494738
07/05/2023,15.403092152522666
08/05/2023,16.268225545378918
09/05/2023,18.457533797344645
10/05/2023,19.47221167094165
11/05/2023,20.588390977327407
12/05/2023,22.26758613643137
13/05/2023,20.68404058777906
14/05/2023,19.969743425389932
15/05/2023,20.475655785286367
16/05/2023,20.76767967417809
17/05/2023,16.806442346703225
18/05/2023,16.79360736892221
19/05/2023,17.899746294429015
20/05/2023,17.772827500859034
21/05/2023,18.21282296889975
22/05/2023,19.041633506097213
23/05/2023,19.418460824021704
24/05/2023,20.427796992174034
25/05/2023,19.707155476968328
26/05/2023,16.485558758535173
27/05/2023,16.87634281115516
28/05/2023,16.30497493435664
29/05/2023,19.679118259457912
30/05/2023,20.07868014470602
31/05/2023,20.274653217621413
01/06/2023,20.8999322221888
02/06/2023,20.555771065205903
03/06/2023,22.78634402943108
04/06/2023,17.862564137127425
05/06/2023,17.720649617350112
06/06/2023,18.9240346211939
07/06/2023,20.257423188685628
08/06/2023,16.908319092954013
09/06/2023,18.703250678279566
10/06/2023,17.72204117031927
11/06/2023,18.001001492509964
12/06/2023,18.808093607397243
13/06/2023,19.247756307808768
14/06/2023,17.084911282496527
15/06/2023,17.322873309219336
16/06/2023,18.62512705191027
17/06/2023,18.76625284075478
18/06/2023,18.22156988615679
19/06/2023,16.14485480038629
20/06/2023,14.421043837678976
21/06/2023,15.896452336640026
22/06/2023,14.797741944349934
23/06/2023,17.420165848583316
24/06/2023,18.671903635027924
25/06/2023,19.089106791616402
26/06/2023,17.798076078054464
27/06/2023,16.965219242377124
28/06/2023,11.608977945002893
29/06/2023,14.659392152251383
30/06/2023,17.066346563579803
01/07/2023,17.240149963036387
02/07/2023,17.06114619627605
03/07/2023,17.022856910367413
04/07/2023,14.957239845517428
05/07/2023,19.653848593291045
