dayoftheyear,windPortion
2,0.04038085381875387
3,0.03767828341110318
4,0.04828672077349712
5,0.035092089607208186
6,0.047845110591897264
7,0.05880139099696461
8,0.03995059391153445
9,0.022647870193615263
10,0.031411551825105875
11,0.02811261249009071
12,0.02575700754965662
13,0.022753732319460495
14,0.04273585204250633
15,0.02616793009459882
16,0.03170798935962011
17,0.0417955083062181
18,0.046222752267765926
19,0.042366971052370354
20,0.02098664176129067
21,0.033594639944446156
22,0.04186303714739578
23,0.03637144651023874
24,0.022436039381102654
25,0.025723701666232127
26,0.029693308856270847
27,0.0284635433276688
28,0.03186280629901202
29,0.036218824080112226
30,0.04788608490104668
31,0.048582214101977966
32,0.02941449091192701
33,0.03473434316607914
34,0.04372645635054987
35,0.03222698152306342
36,0.03154311089249753
37,0.03989737686251807
38,0.03717716707743132
39,0.023507723851862436
40,0.036585128424379346
41,0.03360594799786233
42,0.058253694012104576
43,0.04931898290603914
44,0.05487776554791318
45,0.054556754654663205
46,0.042269133824333026
47,0.040708784439898116
48,0.024892859410557584
49,0.0332936140510461
50,0.02815089038937515
51,0.036146468224189744
52,0.030651662538662607
53,0.03203320207990835
54,0.03678556141952561
55,0.04338003639132123
56,0.026754553916171694
57,0.0330620925917682
58,0.025509312583191633
59,0.031027927139999183
60,0.03675284261429826
61,0.03625200516852466
62,0.04067880862634268
63,0.04699882741543066
64,0.07004120931117824
65,0.04547043262392313
66,0.03233007436987908
67,0.04197198189508647
68,0.04142371657752598
69,0.0482770964491602
70,0.023077386990859507
71,0.0332324231854754
72,0.016563034023229145
73,0.05037223735681121
74,0.060914849989396926
75,0.034135428347051716
76,0.021623132562105327
77,0.026874837073956787
78,0.049638017068452236
79,0.056882204209419744
80,0.042408645952802235
81,0.03142092975742813
82,0.05029837983445093
83,0.019279378634064884
84,0.020017577693992972
85,0.03870669463588529
86,0.013905017225733044
87,0.015797653167644407
88,0.045149187937338096
89,0.041332810304529205
90,0.023704705130679224
91,0.031844839218017076
92,0.01262030648386005
93,0.02982581687557342
94,0.021377651268008998
95,0.02170090284117715
96,0.026681888639258654
97,0.034386577179208226
98,0.03387596161510292
99,0.062421290485898416
100,0.031256630289730775
101,0.04201546530574665
102,0.02906396478625581
103,0.03711857761055244
104,0.030155415661179356
105,0.03338336696055761
106,0.016059517488093054
107,0.024178615985272146
108,0.019620494429781834
109,0.027852058688437764
110,0.02536513600611627
111,0.03429629855194768
112,0.005618018442490599
113,0.03415843757812213
114,0.01905693405192056
115,0.016624285588141368
116,0.037050939652563175
117,0.03719790056050638
118,0.052804180509088444
119,0.04497849465704025
120,0.03743647130988123
121,0.021906032780473955
122,0.04579634543543909
123,0.018656440138905158
124,0.03473962672487037
125,0.06368532058845995
126,0.02951859112452819
127,0.026615497981890855
128,0.04594821898349949
129,0.044707699745745136
130,0.028212674054453102
131,0.02962722730608711
132,0.014587698843815161
133,0.01078157411677405
134,0.014123572564145499
135,0.034352341470425075
136,0.015035582629739613
137,0.024879633134232894
138,0.018006395499653008
139,0.03581625913932715
140,0.03324337283618714
141,0.03809772072153385
142,0.029497324609376957
143,0.0225285137570209
144,0.013901210722297913
145,0.0538668367910622
146,0.04257977819995887
147,0.026803768350292863
148,0.032885939188520105
149,0.025196346159345545
150,0.023122844324165392
151,0.030728527293144278
152,0.0320507563619706
153,0.014370867987458827
154,0.027627325107177525
155,0.047313924953140525
156,0.03153430924706522
157,0.03410531376594212
158,0.03650499103083936
159,0.04473862912400062
160,0.021546833371230915
161,0.024303934716955054
