id,date,dayoftheyear,temperature,irradiance,pressure,rainfall,windspeed,windangle,windPortion,solarPortion,renewablePortion,au-nem-nsw1-demand-energy (GWh),au-nem-nsw1-fuel_tech-solar_rooftop-energy (GWh),au-nem-nsw1-fuel_tech-wind-energy (GWh)
0,-1,0,0,0,20,3.830795359959049,0,180,0.0,6.785382065662764e-05,6.785382065662764e-05,205.50715347120465,0.013944445535289174,0.0
1,-1,0,0,0,20,3.830795359959049,1,180,0.0,6.785382065662764e-05,6.785382065662764e-05,205.50715347120465,0.013944445535289174,0.0
2,-1,0,0,0,20,3.830795359959049,2,180,0.0,6.785382065662764e-05,6.785382065662764e-05,205.50715347120465,0.013944445535289174,0.0
3,-1,0,0,0,20,3.830795359959049,3,180,0.0,6.785382065662764e-05,6.785382065662764e-05,205.50715347120465,0.013944445535289174,0.0
4,-1,0,0,0,20,3.830795359959049,4,180,4.866010662446933e-05,6.785382065662764e-05,0.00011651392728109699,205.50715347120465,0.013944445535289174,0.01
5,-1,0,0,0,20,3.830795359959049,5,180,0.0005352611728691627,6.785382065662764e-05,0.0006031149935257903,205.50715347120465,0.013944445535289174,0.11
6,-1,0,0,0,20,3.830795359959049,6,180,0.0010218622391138558,6.785382065662764e-05,0.0010897160597704834,205.50715347120465,0.013944445535289174,0.21
7,-1,0,0,0,20,3.830795359959049,7,180,0.0015084633053585492,6.785382065662764e-05,0.0015763171260151768,205.50715347120465,0.013944445535289174,0.31
8,-1,0,0,0,20,3.830795359959049,8,180,0.0019950643716032425,6.785382065662764e-05,0.00206291819225987,205.50715347120465,0.013944445535289174,0.41
9,-1,0,0,0,20,3.830795359959049,9,180,0.002481665437847936,6.785382065662764e-05,0.0025495192585045633,205.50715347120465,0.013944445535289174,0.51
10,-1,0,0,0,20,3.830795359959049,10,180,0.002968266504092629,6.785382065662764e-05,0.003036120324749257,205.50715347120465,0.013944445535289174,0.61
11,-1,0,0,0,20,3.830795359959049,11,180,0.003454867570337322,6.785382065662764e-05,0.00352272139099395,205.50715347120465,0.013944445535289174,0.71
12,-1,0,0,0,20,3.830795359959049,12,180,0.0037954883167086078,6.785382065662764e-05,0.003863342137365235,205.50715347120465,0.013944445535289174,0.78
13,-1,0,0,0,20,3.830795359959049,13,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
14,-1,0,0,0,20,3.830795359959049,14,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
15,-1,0,0,0,20,3.830795359959049,15,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
16,-1,0,0,0,20,3.830795359959049,16,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
17,-1,0,0,0,20,3.830795359959049,17,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
18,-1,0,0,0,20,3.830795359959049,18,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
19,-1,0,0,0,20,3.830795359959049,19,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
20,-1,0,0,0,20,3.830795359959049,20,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
21,-1,0,0,0,20,3.830795359959049,21,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
22,-1,0,0,0,20,3.830795359959049,22,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
23,-1,0,0,0,20,3.830795359959049,23,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
24,-1,0,0,0,20,3.830795359959049,24,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
25,-1,0,0,0,20,3.830795359959049,25,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
26,-1,0,0,0,20,3.830795359959049,26,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
27,-1,0,0,0,20,3.830795359959049,27,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
28,-1,0,0,0,20,3.830795359959049,28,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
29,-1,0,0,0,20,3.830795359959049,29,180,0.0038928085299575464,6.785382065662764e-05,0.003960662350614174,205.50715347120465,0.013944445535289174,0.8
30,-1,0,0,5,20,3.830795359959049,0,180,0.0,0.0007743926622493906,0.0007743926622493906,205.27361032450733,0.1589623775887392,0.0
31,-1,0,0,5,20,3.830795359959049,1,180,0.0,0.0007743926622493906,0.0007743926622493906,205.27361032450733,0.1589623775887392,0.0
32,-1,0,0,5,20,3.830795359959049,2,180,0.0,0.0007743926622493906,0.0007743926622493906,205.27361032450733,0.1589623775887392,0.0
33,-1,0,0,5,20,3.830795359959049,3,180,0.0,0.0007743926622493906,0.0007743926622493906,205.27361032450733,0.1589623775887392,0.0
34,-1,0,0,5,20,3.830795359959049,4,180,4.871546802431873e-05,0.0007743926622493906,0.0008231081302737093,205.27361032450733,0.1589623775887392,0.01
