date,windspeed (ms^-1),u-component(ms^-1),v-component(ms^-1),angle(0deg=North),rough-direction
01/01/2019,3.4883934538536345,-1.3624999999999998,-0.416666666666667,252.99582312384456,NE
02/01/2019,2.533799299251796,-1.3958333333333333,1.791666666666667,322.0789216046122,SE
03/01/2019,7.501224437087292,-2.2833333333333337,-4.720833333333333,205.8117385664163,N
04/01/2019,9.298454172603101,-2.0291666666666663,-6.575,197.15119391211675,N
05/01/2019,12.745599730887518,-0.6750000000000002,9.0125,355.7167734120239,SE
06/01/2019,6.145936439813076,-1.9541666666666666,4.345833333333333,335.7882456890303,SE
07/01/2019,3.400005106205316,-1.4416666666666667,-2.2125,213.08829590883136,N
08/01/2019,6.122366213773524,-1.0333333333333337,-3.7791666666666663,195.29252849688282,N
09/01/2019,8.909545442950499,-1.2125000000000001,6.3,349.10604027493144,SE
10/01/2019,4.566731295163119,0.12500000000000003,3.1125000000000003,2.299799421791987,S
11/01/2019,7.336232854810432,-1.2916666666666665,-5.187500000000001,193.98208868300105,N
12/01/2019,7.041605029316036,-0.33750000000000036,0.6791666666666663,333.57572441068106,SE
13/01/2019,5.963267188006553,1.825,4.141666666666667,23.780394195689105,S
14/01/2019,8.497066487258348,-3.1083333333333325,-6.008333333333334,207.35419933722383,N
15/01/2019,8.237794000823278,-2.9875000000000003,-5.825,207.15217781085613,N
16/01/2019,2.7930717856868617,-1.3041666666666667,-1.1250000000000002,229.2182941553465,NE
17/01/2019,7.601397897755386,-3.216666666666667,-3.549999999999999,222.1798275275515,N
18/01/2019,8.70919852161431,-0.8083333333333331,0.4166666666666665,297.26947198845806,E
19/01/2019,7.9195959492893335,-1.0625,5.6000000000000005,349.25684599657905,SE
20/01/2019,1.1254782933885883,-1.3125,0.5125,291.32946151527955,E
21/01/2019,5.727564927611033,-1.0750000000000002,-4.049999999999999,194.86535750773973,N
22/01/2019,6.517167499936011,-1.9249999999999998,-4.199999999999998,204.62356478616363,N
23/01/2019,11.667261889578032,1.3124999999999998,8.249999999999998,9.03948280335512,S
24/01/2019,3.830161731427133,-1.2125,1.2666666666666664,316.2516414218592,SE
25/01/2019,8.550099495847338,-2.0375,-5.487500000000001,200.36988113247477,N
26/01/2019,6.670373969193099,0.012499999999999975,2.841666666666668,0.25203259515716675,S
27/01/2019,8.99204123408893,1.0791666666666666,6.133333333333333,9.979110956410585,S
28/01/2019,7.047497585825924,-0.8458333333333333,-1.4166666666666667,210.8396861770333,N
29/01/2019,7.430513758968638,-3.2083333333333335,-5.254166666666667,211.40934444092693,N
30/01/2019,9.928957719161106,-2.0124999999999997,-7.020833333333335,195.99478493144878,N
31/01/2019,13.25235959073788,-1.2583333333333333,6.237500000000002,348.59441522834334,SE
01/02/2019,4.678689868850991,-4.670833333333333,3.066666666666667,303.2871669274198,E
02/02/2019,5.633284023452829,-2.845833333333335,-3.983333333333334,215.54334671245783,N
03/02/2019,9.245421164014111,-2.3000000000000007,-6.537500000000001,199.3827104055695,N
04/02/2019,6.593770734564557,-0.8208333333333334,1.4208333333333336,329.9844319948499,SE
05/02/2019,4.884929346697066,-0.9958333333333331,-0.06249999999999926,266.4087409627945,NE
06/02/2019,5.621498910433053,-2.9583333333333335,-3.975,216.65790615621648,N
07/02/2019,9.033289129658144,-2.3541666666666665,-6.387499999999999,200.23178715974964,N
08/02/2019,6.38753125671848,0.5583333333333335,-4.175,172.382884761919,NW
09/02/2019,6.94143156864794,3.3333333333333326,2.341666666666667,54.911958809530645,SW
10/02/2019,4.166037452490742,-0.9541666666666667,-0.2791666666666668,253.6917686646184,NE
11/02/2019,8.726876191143974,-0.7958333333333333,-6.170833333333333,187.3486967174006,N
12/02/2019,10.076271631908302,0.8374999999999999,1.3833333333333335,31.191621886449504,S
13/02/2019,8.343860018001264,-2.1333333333333333,5.900000000000002,340.12092564614215,SE
14/02/2019,4.260318356648948,-1.9291666666666665,-2.4375,218.35995868093588,N
15/02/2019,2.79896434219675,-1.675,-1.9791666666666663,220.24176510170025,N
16/02/2019,8.349752574511147,-1.2125,-5.904166666666665,191.60510877003512,N
17/02/2019,9.557726659038165,-2.1166666666666663,-6.758333333333332,197.39022160011186,N
18/02/2019,8.585454834906663,-2.454166666666666,-4.545833333333333,208.3633535554921,N
19/02/2019,11.637799107028593,-1.633333333333333,8.229166666666666,348.7737761147797,SE
20/02/2019,6.1400438833031865,-3.6166666666666654,4.341666666666666,320.20524759709133,SE
21/02/2019,10.624279387327876,-1.9249999999999998,7.5125,345.6277804405797,SE
22/02/2019,11.920641819503212,0.049999999999999996,8.429166666666665,0.3398622294981014,S
23/02/2019,14.725498718209852,-1.2416666666666665,10.4125,353.1997221473957,SE
24/02/2019,6.847150664489736,-3.316666666666667,4.841666666666668,325.58784981370826,SE
25/02/2019,4.095326774372087,-1.4374999999999998,-2.795833333333333,207.21032313036844,N
26/02/2019,7.0946380379050265,-0.8208333333333333,-2.2166666666666672,200.31962906797312,N
27/02/2019,5.15009438964202,-0.19166666666666657,3.533333333333332,356.89501736141744,SE
28/02/2019,5.4093668760770885,-2.0208333333333335,-3.8249999999999997,207.84849891054995,N
01/03/2019,4.802433555558635,-3.4916666666666676,-3.3958333333333335,225.79716751092528,NE
02/03/2019,6.198969448402067,-2.65,-4.383333333333334,211.155594362684,N
03/03/2019,9.40452018978108,-2.5625,-6.649999999999999,201.0735869427757,N
04/03/2019,10.960155108391486,-3.1666666666666665,-7.75,202.22503045111355,N
05/03/2019,9.127570033816351,-1.9000000000000001,-6.454166666666667,196.40355740489733,N
