date,windspeed (ms^-1),u-component(ms^-1),v-component(ms^-1),angle(0deg=North),rough-direction
01/01/2016,2.816642011726414,0.8625000000000002,-0.24999999999999975,106.1644991522569,W
02/01/2016,13.853400354746443,1.575,9.795833333333333,9.133994560547691,S
03/01/2016,15.750803550930348,-1.9999999999999998,11.137500000000001,349.8196970708061,SE
04/01/2016,7.006249690256708,-0.8249999999999997,4.954166666666667,350.5454922735835,SE
05/01/2016,1.8149074050454719,5.395833333333333,-1.1666666666666665,102.20046872738078,W
06/01/2016,8.314397235451823,4.8625,2.9791666666666665,58.504944450607226,SW
07/01/2016,11.27835315992543,1.9083333333333339,7.974999999999999,13.457232624441025,S
08/01/2016,6.658588856173322,-1.3458333333333332,4.708333333333333,344.04790753768725,SE
09/01/2016,2.8343196812560785,1.3208333333333335,-1.4375,137.42194288184254,NW
10/01/2016,7.518902106616955,3.2708333333333326,-5.316666666666666,148.40001425443123,NW
11/01/2016,7.854777827680566,5.145833333333333,-5.395833333333333,136.3585385380604,NW
12/01/2016,8.34386001800126,-1.3958333333333333,5.8999999999999995,346.68958522081783,SE
13/01/2016,2.032931995911325,-5.0666666666666655,1.0375,281.57246462404174,E
14/01/2016,5.468292441175968,0.49166666666666625,-3.8333333333333335,172.69109838939522,NW
15/01/2016,12.097418514799848,2.724999999999999,8.554166666666665,17.66970503799466,S
16/01/2016,11.961889715072429,-1.1500000000000001,8.458333333333334,352.2575064221613,SE
17/01/2016,9.481123424409624,0.5666666666666668,6.704166666666666,4.831415930294763,S
18/01/2016,8.99204123408893,-0.3041666666666667,6.358333333333333,357.2612019906125,SE
19/01/2016,5.827738388279131,-5.6000000000000005,4.1208333333333345,306.34798001411383,E
20/01/2016,6.210754561421842,-6.058333333333334,4.391666666666667,305.9382373061303,E
21/01/2016,6.994464577236934,-6.008333333333334,4.945833333333334,309.4599230884637,E
22/01/2016,6.994464577236931,-5.966666666666668,4.945833333333332,309.6556960557407,E
23/01/2016,6.098795987733973,-6.095833333333331,4.3125,305.2775145199433,E
24/01/2016,5.739350040630812,-5.466666666666666,4.0583333333333345,306.5893819948373,E
25/01/2016,6.263787570010833,-5.083333333333333,4.429166666666666,311.06601091358186,E
26/01/2016,5.085276268033254,-4.366666666666668,3.5958333333333328,309.47054347335245,E
27/01/2016,3.8655170704864594,-4.3625,2.733333333333333,302.0692854751418,E
28/01/2016,3.1466251762801365,-4.141666666666667,2.225,298.24572982420784,E
29/01/2016,4.890821903206954,-1.7,3.458333333333334,333.8228253506471,SE
30/01/2016,2.5868323078407864,-1.6458333333333333,1.7625000000000004,316.9604592879445,SE
31/01/2016,1.8856180831641267,0.6166666666666668,-1.1916666666666667,152.63922527018275,NW
01/02/2016,1.0135197197007182,-0.1208333333333333,-0.5083333333333334,193.3713319698919,N
02/02/2016,2.592724864350674,-1.3791666666666667,-1.8166666666666667,217.20483444882143,N
03/02/2016,3.9008724095457885,-1.3916666666666666,-2.758333333333334,206.77239326176874,N
04/02/2016,2.5750471948210114,-2.8375000000000004,-1.8208333333333337,237.3115735670904,NE
05/02/2016,3.252691193458119,-4.791666666666666,-2.3000000000000003,244.3589941756947,NE
06/02/2016,5.550788232314399,-2.3458333333333328,-3.9250000000000003,210.8652641185964,N
07/02/2016,2.834319681256077,3.233333333333334,-2.004166666666666,121.7925123723265,W
08/02/2016,6.481812160876685,-1.095833333333333,-4.583333333333333,193.44647287310292,N
09/02/2016,9.033289129658144,-0.42083333333333334,-6.387499999999999,183.76942104911421,N
10/02/2016,14.666573153110974,0.08749999999999997,-10.370833333333334,179.51659991130035,NW
11/02/2016,9.41630530280086,5.604166666666667,-6.658333333333334,139.91344897662964,NW
12/02/2016,2.863782463805518,5.425,-0.30833333333333385,93.25294251682044,W
13/02/2016,13.411458616504854,-5.704166666666667,9.483333333333334,328.97335021161416,SE
14/02/2016,12.392046340294247,-7.383333333333332,8.762500000000001,319.8823169841203,SE
15/02/2016,13.08147545195113,-6.674999999999998,9.25,324.18496900862203,SE
16/02/2016,12.851665748065505,0.07083333333333293,9.087500000000002,0.4465880451821122,S
17/02/2016,5.533110562784733,5.225,3.912499999999999,53.17399034213543,SW
18/02/2016,8.921330555970274,-1.2833333333333334,6.308333333333333,348.500973230636,SE
19/02/2016,10.217692988145613,-6.833333333333333,7.2250000000000005,316.5958537231586,SE
20/02/2016,7.73692669748281,5.554166666666667,5.470833333333335,45.433066427871786,SW
21/02/2016,5.285623189369442,7.441666666666667,3.7374999999999994,63.33238320499962,SW
22/02/2016,4.17193000900063,3.516666666666666,2.9499999999999997,50.007971892040274,SW
23/02/2016,5.444722215136416,1.325,3.85,18.991201050002687,S
24/02/2016,11.425667072672631,-1.9958333333333333,8.079166666666667,346.12378075821346,SE
25/02/2016,6.587878178054666,-5.895833333333333,4.658333333333332,308.31247514282114,E
26/02/2016,5.203127398231011,-3.9333333333333336,3.679166666666666,313.0877149953653,E
27/02/2016,7.731034140972919,-2.025,5.466666666666666,339.6740185779696,SE
28/02/2016,6.776439986371081,-3.1374999999999997,4.791666666666667,326.78391822289495,SE
29/02/2016,4.42530993892581,-2.866666666666666,3.129166666666667,317.5068315039582,SE
01/03/2016,1.585097701159844,-1.1916666666666662,-0.03750000000000006,268.19758076199673,NE
02/03/2016,1.1785113019775793,0.9,0.35000000000000003,68.74949449286676,SW
03/03/2016,8.662058069535208,-2.3625000000000003,6.125,338.9076604941725,SE
04/03/2016,12.280087766606377,-3.9458333333333333,8.683333333333334,335.56225973702317,SE
