date,windspeed (ms^-1),u-component(ms^-1),v-component(ms^-1),angle(0deg=North),rough-direction
01/01/2019,1.424786777420085,-1.3624999999999998,-0.416666666666667,252.99582312384456,NE
02/01/2019,2.2712155641613787,-1.3958333333333333,1.791666666666667,322.0789216046122,SE
03/01/2019,5.24403265361899,-2.2833333333333337,-4.720833333333333,205.8117385664163,N
04/01/2019,6.880998645626311,-2.0291666666666663,-6.575,197.15119391211675,N
05/01/2019,9.03774204378505,-0.6750000000000002,9.0125,355.7167734120239,SE
06/01/2019,4.7649800337695245,-1.9541666666666666,4.345833333333333,335.7882456890303,SE
07/01/2019,2.6407497094154486,-1.4416666666666667,-2.2125,213.08829590883136,N
08/01/2019,3.9178920955307355,-1.0333333333333337,-3.7791666666666663,195.29252849688282,N
09/01/2019,6.415618150264244,-1.2125000000000001,6.3,349.10604027493144,SE
10/01/2019,3.115009028879371,0.12500000000000003,3.1125000000000003,2.299799421791987,S
11/01/2019,5.345891789755736,-1.2916666666666665,-5.187500000000001,193.98208868300105,N
12/01/2019,0.7584020115421047,-0.33750000000000036,0.6791666666666663,333.57572441068106,SE
13/01/2019,4.525928388494208,1.825,4.141666666666667,23.780394195689105,S
14/01/2019,6.764747264721392,-3.1083333333333325,-6.008333333333334,207.35419933722383,N
15/01/2019,6.546432711790445,-2.9875000000000003,-5.825,207.15217781085613,N
16/01/2019,1.722345985696383,-1.3041666666666667,-1.1250000000000002,229.2182941553465,NE
17/01/2019,4.790557842719826,-3.216666666666667,-3.549999999999999,222.1798275275515,N
18/01/2019,0.9094030398502572,-0.8083333333333331,0.4166666666666665,297.26947198845806,E
19/01/2019,5.69990405621007,-1.0625,5.6000000000000005,349.25684599657905,SE
20/01/2019,1.4090111780961854,-1.3125,0.5125,291.32946151527955,E
21/01/2019,4.190241639810286,-1.0750000000000002,-4.049999999999999,194.86535750773973,N
22/01/2019,4.620132573855428,-1.9249999999999998,-4.199999999999998,204.62356478616363,N
23/01/2019,8.353751028729548,1.3124999999999998,8.249999999999998,9.03948280335512,S
24/01/2019,1.753453932797906,-1.2125,1.2666666666666664,316.2516414218592,SE
25/01/2019,5.853551272518248,-2.0375,-5.487500000000001,200.36988113247477,N
26/01/2019,2.8416941592022975,0.012499999999999975,2.841666666666668,0.25203259515716675,S
