date,windspeed (ms^-1),u-component(ms^-1),v-component(ms^-1),angle(0deg=North),rough-direction
01/01/2023,5.240926352065804,-2.941666666666666,-4.3375,214.144886652229,N
02/01/2023,7.184312094959252,-2.9791666666666674,-6.537500000000001,204.4989569517835,N
03/01/2023,3.751057721200486,-2.379166666666667,-2.9000000000000004,219.36553251147058,N
04/01/2023,10.041615663770889,1.5791666666666666,9.916666666666666,9.048020633772675,S
05/01/2023,12.229186541721498,3.054166666666667,11.841666666666667,14.462367348592826,S
06/01/2023,11.403897969066929,-1.2666666666666664,11.33333333333333,353.6228193763926,SE
07/01/2023,7.2259755204555045,0.3666666666666667,7.216666666666665,2.908600845748281,S
08/01/2023,3.868857138168267,0.6333333333333333,3.816666666666666,9.421744467279286,S
09/01/2023,3.3093354905311263,-0.4458333333333333,3.279166666666667,352.25757684721276,SE
10/01/2023,5.28884110914459,-0.9874999999999999,5.195833333333333,349.23892872319175,SE
11/01/2023,2.629576037860265,-2.0541666666666667,-1.6416666666666668,231.36854897176232,NE
12/01/2023,4.5141636668502745,-3.2375000000000003,-3.1458333333333335,225.82272879460479,NE
13/01/2023,6.602884996558534,-4.520833333333334,-4.8125,223.21008939175394,N
14/01/2023,7.6696382375210135,-3.216666666666667,-6.9624999999999995,204.79688057139822,N
15/01/2023,3.802712847428793,-2.6,-2.775,223.135214740661,N
16/01/2023,2.6262364812704044,-2.3208333333333333,-1.229166666666667,242.0932773393933,NE
17/01/2023,6.1917185394866125,-2.4666666666666672,-5.679166666666667,203.47704267089554,N
18/01/2023,0.4692081094780863,-0.35000000000000014,-0.3124999999999995,228.2397002961022,NE
19/01/2023,9.49601981680278,-0.975,9.445833333333333,354.10679344380486,SE
20/01/2023,4.412232443886982,-3.0333333333333337,3.204166666666666,316.5688309001422,SE
21/01/2023,4.8689153623323085,-4.720833333333333,-1.1916666666666667,255.8329444773688,NE
22/01/2023,3.515150739615901,-2.245833333333333,2.704166666666666,320.2900812053713,SE
23/01/2023,3.468033584676544,1.9208333333333334,2.8874999999999997,33.632790857775305,S
24/01/2023,3.724424358952073,-2.5208333333333335,-2.7416666666666667,222.59707385202458,N
25/01/2023,3.4621214193355816,-1.3708333333333336,-3.1791666666666667,203.32535088097586,N
26/01/2023,3.5214940208509353,-0.30416666666666664,3.5083333333333333,355.04494146189046,SE
27/01/2023,1.1134437320513526,-1.1125,0.0458333333333328,272.3591661325816,E
28/01/2023,6.9341157911845945,-3.170833333333333,-6.166666666666667,207.21173770013613,N
29/01/2023,2.388027137850638,-0.5958333333333334,-2.3125,194.4484362093288,N
30/01/2023,8.77142812710045,2.920833333333334,8.270833333333334,19.450602941059735,S
31/01/2023,9.510360761062408,3.6166666666666667,8.795833333333333,22.351461904917414,S
01/02/2023,2.514489262255857,-1.9500000000000002,1.5875000000000006,309.1491236672707,E
02/02/2023,5.155783228030874,0.6666666666666665,-5.112500000000002,172.57058832789338,NW
03/02/2023,3.932803636649616,3.6,1.583333333333333,66.25939546509342,SW
04/02/2023,7.518986384480289,7.387499999999998,1.3999999999999997,79.26917045459082,SW
05/02/2023,3.4339046854694275,-3.245833333333333,-1.1208333333333333,250.94946403343837,NE
06/02/2023,3.813410638056758,-2.3541666666666674,-3.0,218.1220650210479,N
07/02/2023,3.0597323094603484,-2.7291666666666665,1.383333333333334,296.8790931087187,E
08/02/2023,6.241701435150158,-6.154166666666666,-1.0416666666666667,260.39305530184004,NE
09/02/2023,5.553502398386885,-3.366666666666666,-4.416666666666667,217.31697448658315,N
10/02/2023,4.008333333333335,-0.25833333333333347,-4.000000000000001,183.69522053198918,N
11/02/2023,3.145571181129996,-0.32083333333333325,-3.129166666666667,185.85407772100044,N
12/02/2023,9.479994469349068,-0.4166666666666667,9.470833333333335,357.48091260980107,SE
13/02/2023,6.2720416886723935,0.3458333333333334,6.2625,3.1608279458320467,S
14/02/2023,2.400296567324778,-1.3458333333333334,1.9875,325.8961521411411,SE
15/02/2023,4.314804134862001,-0.9708333333333329,-4.204166666666667,193.0029109116491,N
16/02/2023,6.23446541635911,-1.875,-5.945833333333333,197.50250630962245,N
17/02/2023,7.336212739630107,-2.029166666666667,-7.049999999999998,196.05714443201657,N
18/02/2023,0.444487845103153,0.04999999999999997,0.4416666666666667,6.458816378718652,S
19/02/2023,0.9852030247619015,-0.5750000000000001,-0.7999999999999998,215.7066914006029,N
20/02/2023,5.3367957510934305,-2.3666666666666667,-4.783333333333334,206.32498646662236,N
21/02/2023,8.791508687364189,-3.700000000000001,7.9750000000000005,335.11106458672464,SE
22/02/2023,7.28406031840911,-5.070833333333334,5.229166666666667,315.88069099891527,SE
23/02/2023,4.450665134436526,-4.404166666666668,0.6416666666666668,278.28940438902566,E
24/02/2023,5.252342400724123,-2.900000000000001,-4.379166666666666,213.51357943440362,N
25/02/2023,7.0415199688861385,-1.0791666666666668,-6.958333333333335,188.8157585054028,N
26/02/2023,1.1551815634108975,-0.7999999999999998,-0.8333333333333339,223.83086067209257,N
27/02/2023,4.1777290648017,-1.1916666666666669,4.004166666666666,343.42664426507145,SE
28/02/2023,3.128819887575648,-0.7333333333333324,-3.0416666666666674,193.55508867188325,N
01/03/2023,6.317377103847946,-0.40833333333333327,6.30416666666667,356.2940160530978,SE
02/03/2023,2.561337812333407,-1.4958333333333327,-2.079166666666666,215.73270805824282,N
03/03/2023,3.864647910511671,-2.820833333333334,2.641666666666666,313.12140686539794,E
04/03/2023,4.654621732452834,-2.6583333333333337,-3.820833333333333,214.82815034609607,N
