Date,irradiance (MJ/m^2),temperature (Celcius),pressure (hPa),rainfall (mm)
01/01/2019,31.004130815057792,32.677956708605436,20.269040832391024,3.830795359959049
02/01/2019,24.465525259282334,31.29007915786569,22.17838832260712,0.1919721785845123
03/01/2019,24.85462923157884,29.770523226164098,21.986816748763303,0.27423774734364464
04/01/2019,30.567630603769242,33.32635455300404,22.303272940379557,0.1545934261104568
05/01/2019,21.904067013277693,36.55798170268572,20.558725104189495,0.2680429610845765
06/01/2019,10.083814119543199,22.24953354256977,17.6815314081318,16.983441529586557
07/01/2019,12.233441855581779,25.157914929484686,19.2696980518814,1.2944895046497278
08/01/2019,26.408314886964142,29.60303996556426,22.817640800618936,2.279448289665413
09/01/2019,27.21589069854731,30.06592945451963,21.90179437629174,5.290085382752768
10/01/2019,11.901059591376299,24.11266432355573,20.687900838997137,0.850491805133039
11/01/2019,18.1600336112977,28.337680455138553,22.6015310442665,1.9384231428795968
12/01/2019,30.667226437843667,32.14595793928344,22.215649263013265,5.5441326806607165
13/01/2019,23.910927053024967,27.658822599815558,20.763216616350483,0.02617945850886935
14/01/2019,29.19028265952512,30.73090153791063,22.223177832377587,0.06573374507225672
15/01/2019,30.483978517284385,33.24415612229891,22.378688050799507,0.005307823072338286
16/01/2019,30.005343813378655,34.00009054615447,23.79029360076831,0.053794681594183304
17/01/2019,29.741786350562794,34.493866992548924,23.22048654567439,0.04142367511192425
18/01/2019,28.982709971113895,35.44544921069949,22.295549979368666,0.6164613767614741
19/01/2019,14.5172221049951,28.526844395103055,23.22020580670617,0.26755872095097993
20/01/2019,14.717088282217631,27.12220166147074,20.689850089944496,0.504079280968909
21/01/2019,14.101823635616558,27.662323530115792,23.716885833060918,3.5470977936428323
22/01/2019,28.819341650135904,32.60305754787924,24.45956815334492,1.7829032734163102
23/01/2019,23.336190088042937,32.009664474168765,24.35406211796437,0.9778510458155064
24/01/2019,16.875886091447978,28.754467234830777,21.077716456358154,1.0901350007048591
25/01/2019,29.65233425198587,33.722142648196076,24.420805869156503,0.022638283831075377
26/01/2019,28.272054500181454,35.58459946807952,25.055366170524785,0.030523998392599432
27/01/2019,23.89827941092385,33.55965552626806,24.33810850595604,0.7483994221332037
28/01/2019,18.31594941362014,28.283099043138098,24.60187095528987,8.772985689455794
29/01/2019,28.422758569798035,31.79885685314226,23.76745637748838,1.1795181929232914
30/01/2019,17.800554193483546,31.400523876695978,24.090836776457866,0.5933148504232736
31/01/2019,24.292229904709156,36.816897506567294,22.98497706341294,0.20801957499275422
01/02/2019,7.742729182572996,22.442893412770598,17.655559662096273,1.3433910479757059
02/02/2019,13.70412638195846,26.419303210088927,22.879368761611854,7.869749696395658
03/02/2019,28.349392314388545,31.03866308887593,23.710321856962075,0.8569984417987982
04/02/2019,24.339284618976826,31.825608418710363,22.222028864166425,0.830622557355316
05/02/2019,17.872276666970336,27.85676193845873,23.343077918551852,1.7183213675378723
06/02/2019,26.507292219405063,29.348578586141826,22.767606673437957,2.2072219462534592
07/02/2019,26.706791502827876,29.783429356190695,22.24784940442167,0.6765539249897401
08/02/2019,19.47693926563417,31.08842484978112,22.661707846914727,0.9340694556173496
09/02/2019,23.27049279875089,30.539127452707273,19.796346238108136,17.202495412534045
10/02/2019,28.046206378288126,25.05184560620141,12.08922990201005,0.5758674599313365
11/02/2019,27.92471780510691,29.449451165764728,15.483706522890923,0.07122434815287239
12/02/2019,27.203293309946407,34.92114482291222,13.821960351208046,0.016828222513007845
13/02/2019,25.433429024601867,25.38632987542329,15.522701661175997,0.04735063994248014
14/02/2019,22.05300893717819,25.555645258931825,13.697588388278547,0.07205192875797685
15/02/2019,25.954237531264393,27.357857325615708,15.930023638589223,0.011522967374683632
16/02/2019,24.287643304237164,27.96031355084123,16.576226116807792,0.0017068914591397116
17/02/2019,26.72672890235558,30.890575324968292,17.980486818574224,0.015220014512757882
18/02/2019,25.66238430866259,32.77930763341519,19.38086005448917,0.0068141193775501175
19/02/2019,22.462346700503872,29.806021640773178,19.919720564612845,0.13353264425909664
20/02/2019,10.169794652352358,24.2152343152191,19.780904512579664,4.400648193355835
21/02/2019,10.462683684225416,24.396516418879184,20.456601516323193,3.2934824994939307
22/02/2019,15.6126248411404,24.14311751556081,16.861909380562146,6.1160087320519665
23/02/2019,14.144494342532166,24.1945742330824,16.49535683251602,3.1490316289267373
24/02/2019,19.424330184484376,24.862382204237075,14.512724415675303,5.069015342197253
25/02/2019,22.657585778380707,25.7886554436723,16.180020501560637,0.4237302864193215
26/02/2019,22.917194440092235,28.52828003288636,16.114872567125452,0.2189942956512623
27/02/2019,19.391576944881763,27.09930665208925,19.130193516395746,0.09068516741162222
28/02/2019,21.799318154548708,29.067152687617455,19.782284834681448,0.1545783002371137
01/03/2019,22.198405455687436,29.03151111141616,19.40466925433145,0.04906987899642752
02/03/2019,20.596438361674085,28.65025666901739,19.931291707981313,1.4551888861058064
03/03/2019,22.899126315556785,29.366316425546792,19.568093250459555,0.2616123634088556
04/03/2019,22.99458820056745,30.892599038964796,19.90266189585241,0.07679391206023124
05/03/2019,20.102488686559028,30.62402972672508,20.171532455583456,0.17232940573637012
06/03/2019,13.1058037832348,33.08550977384679,18.963659413675465,0.4276851136301538
07/03/2019,11.788721329074898,22.51010900010037,11.740845407373875,2.7015265695568464
08/03/2019,21.333949998644403,28.67991297348874,16.123491251732904,0.12669423928206897
09/03/2019,10.32980740942456,25.95458267416062,19.77412753063513,0.25558186227508495
10/03/2019,19.751553234184886,30.457540607747642,21.4954712638958,2.317634438305798
