Date,irradiance,temperature,pressure,rainfall
01/01/2020,25.4575103464284,27.7372686689389,14.7762063546129,0.0206781203906632
02/01/2020,20.710044776613,27.3695006323928,16.8747226788446,0.156933250200668
03/01/2020,27.8209233533573,31.7992175012424,20.745067723035,0.157033289866538
04/01/2020,29.16062674241,41.1991919140331,21.2881366567286,0.00568803725073905
05/01/2020,20.8907765254802,25.5702981839883,15.2427989984629,0.0228564549386705
06/01/2020,10.855298552049,24.1741963770773,17.1257533026745,0.314507317240346
07/01/2020,19.3788532208754,30.6782580912625,22.2374545587891,2.463043590187
08/01/2020,20.3822001033698,27.5964253960258,21.3094833092182,2.30467612712655
09/01/2020,14.4752362274442,26.1308899873222,19.7037325881263,0.352519877391919
10/01/2020,28.2745181765791,32.996802083464,22.5847527328767,0.577179706802812
11/01/2020,10.4011520995904,23.1652503345872,17.2016992466204,0.267445733724933
12/01/2020,10.1747646146967,22.1056726084562,14.8799152390245,0.486202460665875
13/01/2020,24.4960025009358,26.1469574862139,16.2330827590934,1.13061599256551
14/01/2020,26.2326165288969,28.4176945701071,19.3990185178519,0.0199339135460437
15/01/2020,23.1202510566612,28.6876379409328,19.6438421086591,0.111227747840707
16/01/2020,10.9505490036036,28.643971370749,22.9566352514937,4.1515328991185
17/01/2020,8.26905849887237,22.8522752916394,19.6638931611144,19.1440860739887
18/01/2020,10.940247681904,23.3294690716398,20.1146028349618,20.0023146605378
19/01/2020,16.672694096667,25.4545062447441,20.659563745596,4.76389783685764
20/01/2020,21.5827828573595,28.9421426195872,22.6876606613521,2.25592394910676
21/01/2020,29.934229139297,30.4934751420531,15.523193964634,5.87795071947045
22/01/2020,29.9758752858614,32.4832380221476,20.5766468893475,0.0333408796153593
23/01/2020,24.4877193737374,39.1215089046996,17.7814797824255,0.126208409877274
24/01/2020,18.0536518043429,27.2323362270693,21.0768381962985,1.98156548131375
25/01/2020,19.6291671304019,29.2404349980868,22.6899293687165,2.08063478322279
26/01/2020,25.9787422517935,34.2417144682871,25.9361523785487,0.63776513895932
27/01/2020,24.4529540119277,30.2053456579526,23.2031961447494,1.29664170526058
28/01/2020,22.9882293991833,31.6976248965669,24.144296626862,0.251168484140543
29/01/2020,21.0834629696636,28.9106480152425,20.3617147695858,0.875807515582691
30/01/2020,28.145312075615,31.5119313544845,20.8606582702594,0.0176647157824754
31/01/2020,28.6840011822595,34.5265283283804,24.4920995511991,0.00936327169063073
01/02/2020,28.8800854335753,38.9723509079882,24.9902425249194,0.0130362476504595
02/02/2020,21.0449425636588,32.2631252404457,23.6314107187197,0.0597259292420424
03/02/2020,22.3773930998937,30.7618244430753,24.1125306972152,15.1451529343208
04/02/2020,20.694200023986,23.0736751204706,11.0712316990487,0.972163423953038
05/02/2020,23.7932919738798,26.1530676624842,15.1207871657129,0.105323478653866
06/02/2020,9.27331864412536,23.7083698690718,20.612280509209,2.27946140309889
07/02/2020,6.75275413262131,22.0276521981084,21.0440045039599,37.5707922496029
08/02/2020,9.07353102643532,23.043454660568,21.8068165050563,48.8216734571018
09/02/2020,2.74707622443631,21.5818892205733,21.4375971050266,60.5836793371394
10/02/2020,18.6402109684436,27.1034205726796,24.1526609278243,132.487411676383
11/02/2020,24.4345748408369,29.0144432911852,22.8945269080508,2.74885017235166
12/02/2020,14.7755340073531,26.3113482645846,24.7911326403393,1.89186182641543
13/02/2020,14.5219690806532,26.0136696793315,26.2044854903158,12.2227337624131
14/02/2020,25.7098773895351,26.7719831800832,21.6087677908856,4.39816587547078
15/02/2020,20.786427619247,27.4542748444079,20.0811854428455,0.492045167043498
16/02/2020,20.7315594645422,25.9938390535774,20.0295408564126,4.4298825835838
17/02/2020,11.2624036199071,25.1327108290178,22.5066753994541,2.80747841981206
18/02/2020,22.4222743695201,31.000609322781,23.4135495855355,3.04707348308827
19/02/2020,24.2284535448563,27.1199737762491,14.6146914145801,10.4598050472713
20/02/2020,24.9145019182404,24.3019479187876,15.3981249160226,0.0738319060639401
21/02/2020,18.699985678892,24.9610871351224,17.1291446316294,0.0502504545768474
22/02/2020,13.5413097279987,23.3652807698744,17.2481269997494,2.02883449376385
23/02/2020,13.5671280975111,24.8346348120541,19.1875046387761,1.06660158504696
24/02/2020,21.3317362186228,27.3834920802628,19.2592538655721,0.642197490938152
25/02/2020,24.5871077284334,29.27925715236,20.9650136235324,0.539155352742808
26/02/2020,18.7201560383172,31.3164205445517,21.3062559333401,0.198634764434435
27/02/2020,19.4657052260893,25.3836258193091,15.9780758873922,1.39752005576093
28/02/2020,24.3567050469699,25.1958203400818,12.7497404035735,0.0690047721057958
29/02/2020,22.1710965356527,26.3305981567186,17.4411954183025,0.0733619900907935
01/03/2020,24.6698690301686,30.0804968747186,20.5567642395168,0.0151111122515445
02/03/2020,22.384802108703,34.9816944023189,17.9234095732501,0.00535342541037599
03/03/2020,5.93548473843808,21.3528389318816,17.1371408496038,0.133840422050202
04/03/2020,7.59395187558226,23.1855271924687,21.529516057834,13.6073792793415
05/03/2020,3.88385646095444,22.6166479168613,23.5117378237291,12.1884434059655
06/03/2020,17.160335281721,26.8881634430388,23.879486092485,30.4203833411395
07/03/2020,16.7825643228297,23.500841637026,17.696127491866,1.90001432015857
08/03/2020,15.2110740681441,22.0942436716688,17.3271145012075,7.20607340762073
09/03/2020,15.5806144345598,21.991888725979,16.6118659549079,3.3502603823389
10/03/2020,17.9852702833928,23.2146158627242,16.6486089780571,2.15286940000052
11/03/2020,20.2406100602505,24.4348541459973,16.8988924977838,0.8070310882978
