Date,irradiance (MJ/m^2),temperature (Celcius),pressure (hPa),rainfall (mm)
18/05/2023,10.35,15.3,9.26,2.9
19/05/2023,12.05,16.58,7.83,0.0
20/05/2023,11.91,16.35,8.08,0.0
21/05/2023,11.56,16.31,7.63,0.0
22/05/2023,11.79,17.48,8.22,0.0
23/05/2023,11.71,18.02,7.95,0.0
24/05/2023,11.64,19.19,8.8,0.2
25/05/2023,5.79,17.26,7.65,0.0
26/05/2023,6.36,13.56,10.03,0.0
27/05/2023,11.43,15.42,7.52,0.0
28/05/2023,9.09,15.4,7.14,0.0
29/05/2023,11.3,18.12,9.41,0.0
30/05/2023,10.98,18.84,9.06,0.0
31/05/2023,9.65,18.99,10.62,0.0
01/06/2023,6.03,20.23,12.21,0.0
02/06/2023,8.99,18.77,14.33,0.0
03/06/2023,9.27,20.89,15.29,0.4
04/06/2023,6.74,15.9,13.48,0.5
05/06/2023,7.61,15.92,12.64,0.8
06/06/2023,8.63,17.32,13.76,1.1
07/06/2023,10.15,18.97,13.89,0.0
08/06/2023,3.88,14.9,13.21,0.0
09/06/2023,10.49,17.55,9.35,1.2
10/06/2023,10.79,16.33,8.45,0.0
11/06/2023,10.77,16.36,8.5,0.0
12/06/2023,9.71,17.55,9.8,0.0
13/06/2023,10.67,18.7,12.09,0.9
14/06/2023,10.71,15.49,7.63,0.1
15/06/2023,10.68,16.28,7.53,0.0
16/06/2023,10.69,17.46,8.95,0.0
17/06/2023,10.68,17.63,9.15,0.0
18/06/2023,9.84,17.13,8.19,0.0
19/06/2023,10.67,14.95,6.57,0.0
20/06/2023,10.67,13.23,5.54,0.0
21/06/2023,10.59,14.6,6.74,0.0
22/06/2023,6.62,13.74,8.53,0.3
23/06/2023,10.66,16.04,10.61,5.9
24/06/2023,10.49,17.66,8.38,0.1
25/06/2023,10.71,17.36,7.34,0.0
26/06/2023,10.73,15.91,6.91,0.0
27/06/2023,9.99,15.84,8.13,0.0
28/06/2023,4.3,10.46,9.94,1.2
29/06/2023,10.71,13.04,7.82,2.2
30/06/2023,10.82,15.76,7.17,0.0
01/07/2023,10.84,16.23,8.08,0.0
02/07/2023,10.78,15.5,8.02,0.0
03/07/2023,6.27,16.45,10.04,0.1
04/07/2023,5.01,13.55,13.55,4.5
05/07/2023,10.23,18.74,13.29,2.7
06/07/2023,10.81,15.86,8.53,0.1
07/07/2023,11.06,15.72,8.66,0.0
08/07/2023,11.13,17.31,7.03,0.0
09/07/2023,11.1,15.97,7.6,0.0
10/07/2023,11.2,17.24,8.78,0.0
11/07/2023,11.3,18.2,7.68,0.0
12/07/2023,11.35,18.07,9.69,0.0
13/07/2023,11.42,19.11,8.95,0.0
14/07/2023,11.32,20.59,8.08,0.0
15/07/2023,9.51,21.57,10.19,0.0
16/07/2023,5.66,15.7,12.52,0.0
17/07/2023,8.9,17.36,12.95,0.3
18/07/2023,11.35,19.51,12.13,0.1
19/07/2023,11.84,14.09,6.35,0.0
20/07/2023,11.03,16.22,7.32,0.0
21/07/2023,8.95,16.77,8.84,0.0
22/07/2023,11.83,14.74,6.86,0.6
23/07/2023,12.11,15.52,8.82,0.0
24/07/2023,11.38,15.68,10.36,3.2
25/07/2023,12.16,16.82,9.76,0.1
26/07/2023,12.42,19.0,10.11,0.2
27/07/2023,12.5,18.22,9.62,0.0
28/07/2023,10.51,21.21,10.4,0.0
29/07/2023,10.11,20.16,11.55,0.0
30/07/2023,12.8,22.44,12.41,0.0
31/07/2023,12.93,21.03,8.44,0.0
01/08/2023,13.03,19.63,7.98,0.0
02/08/2023,8.51,16.59,12.3,2.4
03/08/2023,13.18,19.64,12.3,0.3
04/08/2023,13.26,21.14,11.18,0.0
05/08/2023,5.79,15.58,10.45,0.1
06/08/2023,11.94,14.71,10.64,24.6
07/08/2023,8.8,13.97,10.72,0.0
08/08/2023,12.82,16.74,11.65,0.7
09/08/2023,13.89,18.71,11.85,0.1
10/08/2023,12.2,20.44,9.38,0.0
11/08/2023,14.19,17.2,7.76,0.0
12/08/2023,12.75,18.34,8.37,0.0
13/08/2023,7.47,15.63,9.91,0.1
14/08/2023,5.47,12.37,12.43,20.4
15/08/2023,12.37,14.57,10.18,4.1
16/08/2023,8.77,15.41,10.81,4.9
17/08/2023,14.68,18.12,9.53,0.1
18/08/2023,12.97,15.53,11.12,3.8
19/08/2023,14.38,16.6,6.32,0.0
20/08/2023,14.62,19.93,9.91,0.0
21/08/2023,15.53,19.25,9.59,0.0
22/08/2023,13.77,21.97,10.2,0.0
23/08/2023,10.71,15.63,9.49,7.7
24/08/2023,11.44,17.18,11.93,0.7
25/08/2023,16.11,19.04,9.99,0.0
26/08/2023,14.09,17.79,11.48,0.0
27/08/2023,15.77,18.87,12.8,0.0
28/08/2023,15.04,19.43,12.56,0.0
29/08/2023,14.84,20.42,12.46,5.2
30/08/2023,14.13,23.26,11.6,0.2
31/08/2023,13.06,17.42,12.12,3.7
01/09/2023,16.41,16.31,9.21,0.0
02/09/2023,16.78,16.32,8.14,0.0
03/09/2023,16.56,17.62,10.11,0.0
04/09/2023,16.99,19.23,11.34,0.0
05/09/2023,17.88,21.18,7.9,0.0
06/09/2023,18.08,19.69,7.76,0.0
07/09/2023,17.86,24.03,10.12,0.0
08/09/2023,10.43,16.62,10.66,4.5
09/09/2023,18.56,16.02,5.45,1.6
10/09/2023,17.41,16.87,6.75,0.0
11/09/2023,18.85,17.43,8.28,0.0
12/09/2023,15.89,18.47,10.6,0.0
13/09/2023,19.23,20.89,10.51,0.0
14/09/2023,19.25,23.4,10.75,0.0
15/09/2023,18.96,26.36,10.44,0.0
16/09/2023,19.72,30.76,9.72,0.0
17/09/2023,20.0,29.5,8.67,0.0
18/09/2023,20.08,31.07,9.28,0.0
19/09/2023,20.15,32.26,9.43,0.0
20/09/2023,20.37,31.52,7.56,0.0
21/09/2023,18.15,19.85,7.03,0.0
22/09/2023,18.91,16.41,9.45,7.0
23/09/2023,16.03,17.81,10.14,0.0
24/09/2023,18.21,18.94,10.34,0.0
25/09/2023,21.03,23.26,10.86,0.0
26/09/2023,10.98,19.22,14.14,0.0
27/09/2023,16.46,21.67,15.98,7.0
28/09/2023,15.03,20.14,14.97,23.3
29/09/2023,21.99,25.03,14.58,0.1
30/09/2023,22.29,26.09,13.89,0.1
01/10/2023,21.54,33.62,13.26,0.0
02/10/2023,21.62,21.47,12.76,0.0
03/10/2023,21.64,31.44,15.93,0.0
04/10/2023,5.72,23.54,12.16,0.0
05/10/2023,23.36,18.88,7.13,18.7
06/10/2023,15.47,18.8,8.7,0.0
07/10/2023,21.42,17.0,8.36,1.3
08/10/2023,21.0,19.14,11.1,0.0
09/10/2023,24.04,23.09,11.18,0.1
10/10/2023,17.75,20.32,14.13,0.0
11/10/2023,22.73,23.2,14.75,0.1
12/10/2023,24.14,28.85,13.53,0.0
13/10/2023,23.54,21.24,7.59,3.0
14/10/2023,23.11,25.23,9.71,0.2
15/10/2023,24.79,22.37,8.93,0.0
16/10/2023,18.97,22.55,10.85,0.0
17/10/2023,13.0,15.93,9.71,5.1
18/10/2023,17.81,19.18,13.16,8.7
19/10/2023,18.86,20.89,12.63,0.2
20/10/2023,25.97,24.29,13.39,0.0
21/10/2023,24.73,24.86,17.22,0.1
22/10/2023,26.3,26.55,11.99,0.0
23/10/2023,26.57,25.26,8.45,0.0
24/10/2023,26.25,27.71,12.88,0.0
25/10/2023,24.94,22.01,12.55,0.0
26/10/2023,16.71,15.62,8.39,0.2
27/10/2023,16.12,16.21,10.56,3.9
28/10/2023,22.28,18.9,10.07,5.0
29/10/2023,27.29,24.46,10.71,0.0
30/10/2023,21.22,31.05,11.66,0.4
31/10/2023,27.38,24.74,6.92,0.0
01/11/2023,22.4,19.45,11.56,0.1
02/11/2023,23.9,20.96,10.91,0.0
03/11/2023,15.05,21.18,14.53,3.4
04/11/2023,5.69,17.5,15.14,10.4
05/11/2023,8.79,17.15,14.65,106.0
06/11/2023,15.78,20.16,12.87,7.8
07/11/2023,27.44,23.17,13.39,0.0
08/11/2023,23.39,24.95,15.65,0.0
09/11/2023,17.95,24.94,17.77,0.6
10/11/2023,27.62,23.83,17.25,16.2
11/11/2023,28.65,27.09,18.35,0.2
12/11/2023,27.92,24.82,15.72,0.0
13/11/2023,20.93,20.64,13.57,0.0
14/11/2023,20.86,24.7,14.7,0.0
15/11/2023,16.69,22.42,18.37,0.0
16/11/2023,17.8,24.99,17.08,0.0
17/11/2023,26.36,20.39,10.76,14.7
18/11/2023,27.71,23.02,13.36,0.0
19/11/2023,30.1,25.39,14.04,0.0
20/11/2023,15.88,24.61,18.3,0.0
21/11/2023,14.41,22.96,18.21,1.1
22/11/2023,23.06,23.81,16.9,1.1
23/11/2023,15.22,22.45,18.95,0.4
24/11/2023,9.3,21.65,20.18,11.7
25/11/2023,8.74,22.47,18.89,9.6
26/11/2023,23.69,28.24,18.61,4.0
27/11/2023,19.11,24.21,18.5,0.6
28/11/2023,5.21,19.48,18.55,8.5
29/11/2023,13.12,23.59,21.42,56.2
30/11/2023,20.28,24.9,18.42,26.8
01/12/2023,22.15,25.06,16.77,1.6
02/12/2023,17.42,23.76,17.73,2.9
03/12/2023,23.88,24.0,16.2,18.7
04/12/2023,22.2,23.43,16.19,1.9
05/12/2023,30.0,29.9,16.72,0.0
06/12/2023,30.35,24.52,15.58,0.0
07/12/2023,26.11,28.2,18.03,0.0
08/12/2023,26.64,32.36,20.05,0.1
09/12/2023,28.18,35.69,21.98,0.0
10/12/2023,18.63,25.47,20.43,0.3
11/12/2023,24.91,27.59,21.1,0.0
12/12/2023,19.7,26.47,21.34,1.0
13/12/2023,24.4,29.0,20.53,0.3
14/12/2023,30.34,36.0,21.41,5.6
15/12/2023,30.13,26.33,17.27,0.0
16/12/2023,30.7,32.32,15.95,0.0
17/12/2023,20.72,24.64,17.44,0.1
18/12/2023,20.77,27.28,20.05,0.0
19/12/2023,16.04,30.06,24.26,0.0
20/12/2023,6.28,17.31,16.49,57.1
21/12/2023,19.11,21.25,16.37,11.1
22/12/2023,31.5,22.65,12.28,0.2
23/12/2023,24.92,23.49,15.57,1.2
24/12/2023,9.76,21.64,18.93,3.6
25/12/2023,19.68,25.07,20.58,55.4
26/12/2023,15.57,26.35,21.54,38.5
27/12/2023,18.16,23.64,18.36,3.4
28/12/2023,28.02,26.89,17.42,17.3
29/12/2023,10.19,22.76,20.01,0.1
30/12/2023,24.14,25.14,15.19,1.4
31/12/2023,12.33,19.42,15.12,3.9
01/01/2024,7.21,22.28,19.58,5.7
